First level,Domain/Workflow/...,Second Level,Third Level,V2 Section,V2 Section Names,v2+ HTML Page,v2+ Group Type,v2+ Group Section,Comments
,,,,3.3.14,ADT/ACK - Pending Admit (Event A14),Message - A14 Pending Admit ,Message,Tab - ACK Interaction,
,,,,3.3.15,ADT/ACK - Pending Transfer (Event A15),Message - A15 Pending Transfer ,Message,Text,
,,,,3.3.15,ADT/ACK - Pending Transfer (Event A15),Message - A15 Pending Transfer ,Message,Tab - ADT^A15^ADT_A15,
,,,,3.3.15,ADT/ACK - Pending Transfer (Event A15),Message - A15 Pending Transfer ,Message,Tab - ADT Interaction,
,,,,3.3.15,ADT/ACK - Pending Transfer (Event A15),Message - A15 Pending Transfer ,Message,Tab - ACK^A15^ACK,
,,,,3.3.15,ADT/ACK - Pending Transfer (Event A15),Message - A15 Pending Transfer ,Message,Tab - ACK Interaction,
,,,,3.3.16,ADT/ACK - Pending Discharge (Event A16),Message - A16 Pending Discharge,Message,Text,
,,,,3.3.16,ADT/ACK - Pending Discharge (Event A16),Message - A16 Pending Discharge,Message,Tab - ADT^A16^ADT_A16,
,,,,3.3.16,ADT/ACK - Pending Discharge (Event A16),Message - A16 Pending Discharge,Message,Tab - ADT Interaction,
,,,,3.3.16,ADT/ACK - Pending Discharge (Event A16),Message - A16 Pending Discharge,Message,Tab - ACK^A16^ACK,
,,,,3.3.16,ADT/ACK - Pending Discharge (Event A16),Message - A16 Pending Discharge,Message,Tab - ACK Interaction,
,,,,3.3.17,ADT/ACK - Swap Patients (Event A17),Message - A17 Swap Patients ,Message,Text,
,,,,3.3.17,ADT/ACK - Swap Patients (Event A17),Message - A17 Swap Patients ,Message,Tab - ADT^A17^ADT_A17,
,,,,3.3.17,ADT/ACK - Swap Patients (Event A17),Message - A17 Swap Patients ,Message,Tab - ADT Interaction,
,,,,3.3.17,ADT/ACK - Swap Patients (Event A17),Message - A17 Swap Patients ,Message,Tab - ACK^A17^ACK,
,,,,3.3.17,ADT/ACK - Swap Patients (Event A17),Message - A17 Swap Patients ,Message,Tab - ACK Interaction,
,,,,3.3.20,ADT/ACK - Bed Status Update (Event A20),Message - A20 Bed Status Update,Message,Text,
,,,,3.3.20,ADT/ACK - Bed Status Update (Event A20),Message - A20 Bed Status Update,Message,Tab - ADT^A20^ADT_A20,
,,,,3.3.20,ADT/ACK - Bed Status Update (Event A20),Message - A20 Bed Status Update,Message,Tab - ADT Interaction,
,,,,3.3.20,ADT/ACK - Bed Status Update (Event A20),Message - A20 Bed Status Update,Message,Tab - ACK^A20^ACK,
,,,,3.3.20,ADT/ACK - Bed Status Update (Event A20),Message - A20 Bed Status Update,Message,Tab - ACK Interaction,
,,,,3.3.21,ADT/ACK - Patient Goes on a Leave of Absence (Event A21),Message - A21 Patient Goes on a Leave of Absence ,Message,Text,
,,,,3.3.21,ADT/ACK - Patient Goes on a Leave of Absence (Event A21),Message - A21 Patient Goes on a Leave of Absence ,Message,Tab - ADT^A21^ADT_A21,
,,,,3.3.21,ADT/ACK - Patient Goes on a Leave of Absence (Event A21),Message - A21 Patient Goes on a Leave of Absence ,Message,Tab - ADT Interaction,
,,,,3.3.21,ADT/ACK - Patient Goes on a Leave of Absence (Event A21),Message - A21 Patient Goes on a Leave of Absence ,Message,Tab - ACK^A21^ACK,
,,,,3.3.21,ADT/ACK - Patient Goes on a Leave of Absence (Event A21),Message - A21 Patient Goes on a Leave of Absence ,Message,Tab - ACK Interaction,
,,,,3.3.22,ADT/ACK - Patient Returns From a Leave of Absence (Event A22),Message - A22 Patient Returns From a Leave of Absence,Message,Text,
,,,,3.3.22,ADT/ACK - Patient Returns From a Leave of Absence (Event A22),Message - A22 Patient Returns From a Leave of Absence,Message,Tab - ADT^A22^ADT_A21,
,,,,3.3.22,ADT/ACK - Patient Returns From a Leave of Absence (Event A22),Message - A22 Patient Returns From a Leave of Absence,Message,Tab - ADT Interaction,
,,,,3.3.22,ADT/ACK - Patient Returns From a Leave of Absence (Event A22),Message - A22 Patient Returns From a Leave of Absence,Message,Tab - ACK^A22^ACK,
,,,,3.3.22,ADT/ACK - Patient Returns From a Leave of Absence (Event A22),Message - A22 Patient Returns From a Leave of Absence,Message,Tab - ACK Interaction,
,,,,3.3.23,ADT/ACK - Delete a Patient Record (Event A23),Message - A23 Delete a Patient Record,Message,Text,
,,,,3.3.23,ADT/ACK - Delete a Patient Record (Event A23),Message - A23 Delete a Patient Record,Message,Tab - ADT^A23^ADT_A21,
,,,,3.3.23,ADT/ACK - Delete a Patient Record (Event A23),Message - A23 Delete a Patient Record,Message,Tab - ADT Interaction,
,,,,3.3.23,ADT/ACK - Delete a Patient Record (Event A23),Message - A23 Delete a Patient Record,Message,Tab - ACK^A23^ACK,
,,,,3.3.23,ADT/ACK - Delete a Patient Record (Event A23),Message - A23 Delete a Patient Record,Message,Tab - ACK Interaction,
,,,,3.3.24,ADT/ACK - Link Patient Information (Event A24),Message - A24 Link Patient Information,Message,Text,
,,,,3.3.24,ADT/ACK - Link Patient Information (Event A24),Message - A24 Link Patient Information,Message,Tab - ADT^A24^ADT_A24,
,,,,3.3.24,ADT/ACK - Link Patient Information (Event A24),Message - A24 Link Patient Information,Message,Tab - ADT Interaction,
,,,,3.3.24,ADT/ACK - Link Patient Information (Event A24),Message - A24 Link Patient Information,Message,Tab - ACK^A24^ACK,
,,,,3.3.24,ADT/ACK - Link Patient Information (Event A24),Message - A24 Link Patient Information,Message,Tab - ACK Interaction,
,,,,3.3.25,ADT/ACK - Cancel Pending Discharge (Event A25),Message - A25 Cancel Pending Discharge,Message,Text,
,,,,3.3.25,ADT/ACK - Cancel Pending Discharge (Event A25),Message - A25 Cancel Pending Discharge,Message,Tab - ADT^A25^ADT_A21,
,,,,3.3.25,ADT/ACK - Cancel Pending Discharge (Event A25),Message - A25 Cancel Pending Discharge,Message,Tab - ADT Interaction,
,,,,3.3.25,ADT/ACK - Cancel Pending Discharge (Event A25),Message - A25 Cancel Pending Discharge,Message,Tab - ACK^A25^ACK,
,,,,3.3.25,ADT/ACK - Cancel Pending Discharge (Event A25),Message - A25 Cancel Pending Discharge,Message,Tab - ACK Interaction,
,,,,3.3.26,ADT/ACK - Cancel Pending Transfer (Event A26),Message - A26 Cancel Pending Transfer,Message,Text,
,,,,3.3.26,ADT/ACK - Cancel Pending Transfer (Event A26),Message - A26 Cancel Pending Transfer,Message,Tab - ADT^A26^ADT_A21,
,,,,3.3.26,ADT/ACK - Cancel Pending Transfer (Event A26),Message - A26 Cancel Pending Transfer,Message,Tab - ADT Interaction,
,,,,3.3.26,ADT/ACK - Cancel Pending Transfer (Event A26),Message - A26 Cancel Pending Transfer,Message,Tab - ACK^A26^ACK,
,,,,3.3.26,ADT/ACK - Cancel Pending Transfer (Event A26),Message - A26 Cancel Pending Transfer,Message,Tab - ACK Interaction,
,,,,3.3.27,ADT/ACK - Cancel Pending Admit (Event A27),Message - A27 Cancel Pending Admit,Message,Text,
,,,,3.3.27,ADT/ACK - Cancel Pending Admit (Event A27),Message - A27 Cancel Pending Admit,Message,Tab - ADT^A27^ADT_A21,
,,,,3.3.27,ADT/ACK - Cancel Pending Admit (Event A27),Message - A27 Cancel Pending Admit,Message,Tab - ADT Interaction,
,,,,3.3.27,ADT/ACK - Cancel Pending Admit (Event A27),Message - A27 Cancel Pending Admit,Message,Tab - ACK^A27^ACK,
,,,,3.3.27,ADT/ACK - Cancel Pending Admit (Event A27),Message - A27 Cancel Pending Admit,Message,Tab - ACK Interaction,
,,,,3.3.28,ADT/ACK - Add Person or Patient Information (Event A28),Message - A28 Add Person or Patient Information ,Message,Text,
,,,,3.3.28,ADT/ACK - Add Person or Patient Information (Event A28),Message - A28 Add Person or Patient Information ,Message,Tab - ADT^A28^ADT_A05,
,,,,3.3.28,ADT/ACK - Add Person or Patient Information (Event A28),Message - A28 Add Person or Patient Information ,Message,Tab - ADT Interaction,
,,,,3.3.28,ADT/ACK - Add Person or Patient Information (Event A28),Message - A28 Add Person or Patient Information ,Message,Tab - ACK^A28^ACK,
,,,,3.3.28,ADT/ACK - Add Person or Patient Information (Event A28),Message - A28 Add Person or Patient Information ,Message,Tab - ACK Interaction,
,,,,3.3.29,ADT/ACK - Delete Person Information (Event A29),Message - A29 Delete Person Information,Message,Text,
,,,,3.3.29,ADT/ACK - Delete Person Information (Event A29),Message - A29 Delete Person Information,Message,Tab - ADT^A29^ADT_A21,
,,,,3.3.29,ADT/ACK - Delete Person Information (Event A29),Message - A29 Delete Person Information,Message,Tab - ADT Interaction,
,,,,3.3.29,ADT/ACK - Delete Person Information (Event A29),Message - A29 Delete Person Information,Message,Tab - ACK^A29^ACK,
,,,,3.3.29,ADT/ACK - Delete Person Information (Event A29),Message - A29 Delete Person Information,Message,Tab - ACK Interaction,
,,,,3.3.31,ADT/ACK - Update Person Information (Event A31),Message - A31 Update Person Information,Message,Text,
,,,,3.3.31,ADT/ACK - Update Person Information (Event A31),Message - A31 Update Person Information,Message,Tab - ADT^A31^ADT_A05,
,,,,3.3.31,ADT/ACK - Update Person Information (Event A31),Message - A31 Update Person Information,Message,Tab - ADT Interaction,
,,,,3.3.31,ADT/ACK - Update Person Information (Event A31),Message - A31 Update Person Information,Message,Tab - ACK^A31^ACK,
,,,,3.3.31,ADT/ACK - Update Person Information (Event A31),Message - A31 Update Person Information,Message,Tab - ACK Interaction,
,,,,3.3.32,ADT/ACK - Cancel Patient Arriving - Tracking (Event A32),Message - A32 Cancel Patient Arriving - Tracking ,Message,Text,
,,,,3.3.32,ADT/ACK - Cancel Patient Arriving - Tracking (Event A32),Message - A32 Cancel Patient Arriving - Tracking ,Message,Tab - ADT^A32^ADT_A21,
,,,,3.3.32,ADT/ACK - Cancel Patient Arriving - Tracking (Event A32),Message - A32 Cancel Patient Arriving - Tracking ,Message,Tab - ADT Interaction,
,,,,3.3.32,ADT/ACK - Cancel Patient Arriving - Tracking (Event A32),Message - A32 Cancel Patient Arriving - Tracking ,Message,Tab - ACK^A32^ACK,
,,,,3.3.32,ADT/ACK - Cancel Patient Arriving - Tracking (Event A32),Message - A32 Cancel Patient Arriving - Tracking ,Message,Tab - ACK Interaction,
,,,,3.3.33,ADT/ACK - Cancel Patient Departing - Tracking (Event A33),Message - A33 Cancel Patient Departing - Tracking,Message,Text,
,,,,3.3.33,ADT/ACK - Cancel Patient Departing - Tracking (Event A33),Message - A33 Cancel Patient Departing - Tracking,Message,Tab - ADT^A33^ADT_A21,
,,,,3.3.33,ADT/ACK - Cancel Patient Departing - Tracking (Event A33),Message - A33 Cancel Patient Departing - Tracking,Message,Tab - ADT Interaction,
,,,,3.3.33,ADT/ACK - Cancel Patient Departing - Tracking (Event A33),Message - A33 Cancel Patient Departing - Tracking,Message,Tab - ACK^A33^ACK,
,,,,3.3.33,ADT/ACK - Cancel Patient Departing - Tracking (Event A33),Message - A33 Cancel Patient Departing - Tracking,Message,Tab - ACK Interaction,
,,,,3.3.37,ADT/ACK - Unlink Patient Information (Event A37),Message - A37 Unlink Patient Information ,Message,Text,
,,,,3.3.37,ADT/ACK - Unlink Patient Information (Event A37),Message - A37 Unlink Patient Information ,Message,Tab - ADT^A37^ADT_A37,
,,,,3.3.37,ADT/ACK - Unlink Patient Information (Event A37),Message - A37 Unlink Patient Information ,Message,Tab - ADT Interaction,
,,,,3.3.37,ADT/ACK - Unlink Patient Information (Event A37),Message - A37 Unlink Patient Information ,Message,Tab - ACK^A37^ACK,
,,,,3.3.37,ADT/ACK - Unlink Patient Information (Event A37),Message - A37 Unlink Patient Information ,Message,Tab - ACK Interaction,
,,,,3.3.38,ADT/ACK - Cancel Pre-Admit (Event A38),Message - A38 Cancel Pre-Admit ,Message,Text,
,,,,3.3.38,ADT/ACK - Cancel Pre-Admit (Event A38),Message - A38 Cancel Pre-Admit ,Message,Tab - ADT^A38^ADT_A38,
,,,,3.3.38,ADT/ACK - Cancel Pre-Admit (Event A38),Message - A38 Cancel Pre-Admit ,Message,Tab - ADT Interaction,
,,,,3.3.38,ADT/ACK - Cancel Pre-Admit (Event A38),Message - A38 Cancel Pre-Admit ,Message,Tab - ACK^A38^ACK,
,,,,3.3.38,ADT/ACK - Cancel Pre-Admit (Event A38),Message - A38 Cancel Pre-Admit ,Message,Tab - ACK Interaction,
,,,,3.3.40,ADT/ACK - Merge Patient - Patient Identifier List (Event A40),Message - A40 Merge Patient - Patient Identifier List ,Message,Text,
,,,,3.3.40,ADT/ACK - Merge Patient - Patient Identifier List (Event A40),Message - A40 Merge Patient - Patient Identifier List ,Message,Tab - ADT^A40^ADT_A39,
,,,,3.3.40,ADT/ACK - Merge Patient - Patient Identifier List (Event A40),Message - A40 Merge Patient - Patient Identifier List ,Message,Tab - ADT Interaction,
,,,,3.3.40,ADT/ACK - Merge Patient - Patient Identifier List (Event A40),Message - A40 Merge Patient - Patient Identifier List ,Message,Tab - ACK^A40^ACK,
,,,,3.3.40,ADT/ACK - Merge Patient - Patient Identifier List (Event A40),Message - A40 Merge Patient - Patient Identifier List ,Message,Tab - ACK Interaction,
,,,,3.3.41,ADT/ACK - Merge Account - Patient Account Number (Event A41),Message - A41 Merge Account - Patient Account Number,Message,Text,
,,,,3.3.41,ADT/ACK - Merge Account - Patient Account Number (Event A41),Message - A41 Merge Account - Patient Account Number,Message,Tab - ADT^A41^ADT_A39,
,,,,3.3.41,ADT/ACK - Merge Account - Patient Account Number (Event A41),Message - A41 Merge Account - Patient Account Number,Message,Tab - ADT Interaction,
,,,,3.3.41,ADT/ACK - Merge Account - Patient Account Number (Event A41),Message - A41 Merge Account - Patient Account Number,Message,Tab - ACK^A41^ACK,
,,,,3.3.41,ADT/ACK - Merge Account - Patient Account Number (Event A41),Message - A41 Merge Account - Patient Account Number,Message,Tab - ACK Interaction,
,,,,3.3.42,ADT/ACK - Merge Visit - Visit Number (Event A42),Message - A42 Merge Visit - Visit Number ,Message,Text,
,,,,3.3.42,ADT/ACK - Merge Visit - Visit Number (Event A42),Message - A42 Merge Visit - Visit Number ,Message,Tab - ADT^A42^ADT_A39,
,,,,3.3.42,ADT/ACK - Merge Visit - Visit Number (Event A42),Message - A42 Merge Visit - Visit Number ,Message,Tab - ADT Interaction,
,,,,3.3.42,ADT/ACK - Merge Visit - Visit Number (Event A42),Message - A42 Merge Visit - Visit Number ,Message,Tab - ACK^A42^ACK,
,,,,3.3.42,ADT/ACK - Merge Visit - Visit Number (Event A42),Message - A42 Merge Visit - Visit Number ,Message,Tab - ACK Interaction,
,,,,3.3.43,ADT/ACK - Move Patient Information - Patient Identifier List (Event A43),Message - A43 Move Patient Information - Patient Identifier List ,Message,Text,
,,,,3.3.43,ADT/ACK - Move Patient Information - Patient Identifier List (Event A43),Message - A43 Move Patient Information - Patient Identifier List ,Message,Tab - ADT^A43^ADT_A43,
,,,,3.3.43,ADT/ACK - Move Patient Information - Patient Identifier List (Event A43),Message - A43 Move Patient Information - Patient Identifier List ,Message,Tab - ADT Interaction,
,,,,3.3.43,ADT/ACK - Move Patient Information - Patient Identifier List (Event A43),Message - A43 Move Patient Information - Patient Identifier List ,Message,Tab - ACK^A43^ACK,
,,,,3.3.43,ADT/ACK - Move Patient Information - Patient Identifier List (Event A43),Message - A43 Move Patient Information - Patient Identifier List ,Message,Tab - ACK Interaction,
,,,,3.3.44,ADT/ACK - Move Account Information - Patient Account Number (Event A44),Message - A44 Move Account Information - Patient Account Number,Message,Text,
,,,,3.3.44,ADT/ACK - Move Account Information - Patient Account Number (Event A44),Message - A44 Move Account Information - Patient Account Number,Message,Tab - ADT^A44^ADT_A44,
,,,,3.3.44,ADT/ACK - Move Account Information - Patient Account Number (Event A44),Message - A44 Move Account Information - Patient Account Number,Message,Tab - ADT Interaction,
,,,,3.3.44,ADT/ACK - Move Account Information - Patient Account Number (Event A44),Message - A44 Move Account Information - Patient Account Number,Message,Tab - ACK^A44^ACK,
,,,,3.3.44,ADT/ACK - Move Account Information - Patient Account Number (Event A44),Message - A44 Move Account Information - Patient Account Number,Message,Tab - ACK Interaction,
,,,,3.3.45,ADT/ACK - Move Visit Information - Visit Number (Event A45),Message - A45 Move Visit Information - Visit Number,Message,Text,
,,,,3.3.45,ADT/ACK - Move Visit Information - Visit Number (Event A45),Message - A45 Move Visit Information - Visit Number,Message,Tab - ADT^A45^ADT_A45,
,,,,3.3.45,ADT/ACK - Move Visit Information - Visit Number (Event A45),Message - A45 Move Visit Information - Visit Number,Message,Tab - ADT Interaction,
,,,,3.3.45,ADT/ACK - Move Visit Information - Visit Number (Event A45),Message - A45 Move Visit Information - Visit Number,Message,Tab - ACK^A45^ACK,
,,,,3.3.45,ADT/ACK - Move Visit Information - Visit Number (Event A45),Message - A45 Move Visit Information - Visit Number,Message,Tab - ACK Interaction,
,,,,3.3.47,ADT/ACK - Change Patient Identifier List (Event A47),Message - A47 Change Patient Identifier List ,Message,Text,
,,,,3.3.47,ADT/ACK - Change Patient Identifier List (Event A47),Message - A47 Change Patient Identifier List ,Message,Tab - ADT^A47^ADT_A44,
,,,,3.3.47,ADT/ACK - Change Patient Identifier List (Event A47),Message - A47 Change Patient Identifier List ,Message,Tab - ADT Interaction,
,,,,3.3.47,ADT/ACK - Change Patient Identifier List (Event A47),Message - A47 Change Patient Identifier List ,Message,Tab - ACK^A47^ACK,
,,,,3.3.47,ADT/ACK - Change Patient Identifier List (Event A47),Message - A47 Change Patient Identifier List ,Message,Tab - ACK Interaction,
,,,,3.3.49,ADT/ACK - Change Patient Account Number (Event A49),Message - A49 Change Patient Account Number ,Message,Text,
