DataElement (Field) Name,CodeSystem Name,Field,Table #
Student Indicator,Student Status,NK1.24,231
Religion,Religion,NK1.25,6
Nationality,Nationality,NK1.27,212
Ethnic Group,Ethnic Group,NK1.28,189
Contact Reason,Contact Reason,NK1.29,222
Contact Person's Name,Name Type,NK1.30,200
Job Status,Job Status,NK1.34,311
Race,Race,NK1.35,5
Handicap,Handicap,NK1.36,295
VIP Indicator,VIP Indicator,NK1.39,99
Allergen Type Code,Allergen Type,AL1.2,127
Allergy Severity Code,Allergy Severity,AL1.4,128
Allergen Type Code,Allergen Type,IAM.2,127
Allergy Severity Code,Allergy Severity,IAM.4,128
Allergy Action Code,Segment Action Code,IAM.6,206
Sensitivity to Causative Agent Code,Sensitivity to Causative Agent Code,IAM.9,436
Relationship to Patient Code,Relationship,IAM.15,63
Alert Device Code,Alert Device Code,IAM.16,437
Allergy Clinical Status Code,Allergy Clinical Status,IAM.17,438
Allergy Severity Code,Allergy Severity,IAR.2,128
Sensitivity to Causative Agent Code,Sensitivity to Causative Agent Code,IAR.3,436
Bed Status,Bed Status,NPU.2,116
Prior Patient Identifier List,Check Digit Scheme,MRG.1,61
Prior Patient Account Number,Check Digit Scheme,MRG.3,61
Prior Visit Number,Check Digit Scheme,MRG.5,61
Prior Alternate Visit ID,Check Digit Scheme,MRG.6,61
Prior Patient Name,Name Type,MRG.7,200
Living Dependency,Living Dependency,PD1.1,223
Living Arrangement,Living Arrangement,PD1.2,220
Patient Primary Facility,Organizational Name Type,PD1.3,204
Student Indicator,Student Status,PD1.5,231
Handicap,Handicap,PD1.6,295
Living Will Code,Living Will Code,PD1.7,315
Organ Donor Code,Organ Donor Code,PD1.8,316
Separate Bill,Yes/no Indicator,PD1.9,136
Publicity Code,Publicity Code,PD1.11,215
Protection Indicator,Yes/no Indicator,PD1.12,136
Advance Directive Code,Advance Directive Code,PD1.15,435
Immunization Registry Status,Immunization Registry Status,PD1.16,441
Military Branch,Military Service,PD1.19,140
Military Rank/Grade,Military Rank/Grade,PD1.20,141
Military Status,Military Status,PD1.21,142
Disabled Person Code,Disabled Person Code,DB1.2,334
Disability Indicator,Yes/no Indicator,DB1.4,136
Death Certified Indicator,Yes/no Indicator,PDA.3,136
Autopsy Indicator,Yes/no Indicator,PDA.6,136
Coroner Indicator,Yes/no Indicator,PDA.9,136
Access Restriction Action Code,Segment Action Code,ARV.2,206
Access Restriction Value,Access Restriction Value,ARV.3,717
Access Restriction Reason,Access Restriction Reason Code,ARV.4,719
Security Classification Tag,Confidentiality Classification,ARV.7,952
Security Handling Instructions,"",ARV.8,953
Action Code,Segment Action Code,OH1.2,206
Employment Status,"",OH1.3,957
Action Code,Segment Action Code,OH2.2,206
Occupation,"",OH2.4,958
Industry,"",OH2.5,955
Work Classification,Work Classification ODH,OH2.6,959
Work Schedule,"",OH2.9,954
Supervisory Level,"",OH2.14,956
Current Job Indicator,Yes/no Indicator,OH2.18,136
Action Code,Segment Action Code,OH3.2,206
Occupation,"",OH3.3,958
Industry,"",OH3.4,955
Action Code,Segment Action Code,OH4.2,206
Order Control,Order Control Codes,ORC.1,119
Order Status,Order status,ORC.5,38
Response Flag,Response Flag,ORC.6,121
Parent Order,Order Control Codes,ORC.8,119
Order Control Code Reason,Order Control Code Reason,ORC.16,949
Entering Organization,"",ORC.17,666
Entering Device,"",ORC.18,668
Advanced Beneficiary Notice Code,Advanced Beneficiary Notice Code,ORC.20,339
Order Status Modifier,Order Status Modifier,ORC.25,950
Advanced Beneficiary Notice Override Reason,Advanced Beneficiary Notice Override Reason,ORC.26,552
Confidentiality Code,Confidentiality Code,ORC.28,177
Order Type,Order Type,ORC.29,482
Enterer Authorization Mode,Authorization Mode,ORC.30,483
Order Workflow Profile,Order Workflow Profile,ORC.34,934
Action Code,Segment Action Code,ORC.35,206
When to Charge,Invocation event,BLG.1,100
Charge Type,Charge Type,BLG.2,122
Charge Type Reason,Charge Type Reason,BLG.4,475
Universal Service Identifier,"",OBR.4,612
Specimen Action Code *,Specimen Action Code,OBR.11,65
Danger Code,"",OBR.12,613
Relevant Clinical Information,Relevant Clincial Information,OBR.13,916
Diagnostic Serv Sect ID,Diagnostic Service Section ID,OBR.24,74
Result Status +,Result Status,OBR.25,123
Transportation Mode,Transportation Mode,OBR.30,124
Reason for Study,Reason for Study,OBR.31,951
Transport Logistics of Collected Sample *,"",OBR.38,614
Collector's Comment *,"",OBR.39,619
Transport Arrangement Responsibility,"",OBR.40,620
Transport Arranged,Transport Arranged,OBR.41,224
Escort Required,Escort Required,OBR.42,225
Planned Patient Transport Comment,"",OBR.43,621
Placer Supplemental Service Information,Supplemental Service Information Values,OBR.46,411
Filler Supplemental Service Information,Supplemental Service Information Values,OBR.47,411
Medically Necessary Duplicate Procedure Reason,Medically Necessary Duplicate Procedure Reason,OBR.48,476
Result Handling,Observation Result Handling,OBR.49,507
Parent Order,Order Control Codes,OBR.54,119
Action Code,Segment Action Code,OBR.55,206
Priority,Extended Priority Codes,TQ1.9,485
Conjunction,TQ Conjunction ID,TQ1.12,472
Sequence/Results Flag,Sequence/Results Flag,TQ2.2,503
Sequence Condition Code,Sequence Condition Code,TQ2.6,504
Special Service Request Relationship,Service Request Relationship,TQ2.10,506
Modality,"",IPC.5,604
Protocol Code,"",IPC.6,605
Scheduled Procedure Step Location,"",IPC.8,606
Action Code,Segment Action Code,IPC.10,206
Type,Diet Code Specification Type,ODS.1,159
"Diet, Supplement, or Preference Code","",ODS.3,628
Tray Type,Tray Type,ODT.1,160
Item Code - Internal,"",RQD.2,684
Item Code - External,"",RQD.3,685
Hospital Item Code,"",RQD.4,686
Requisition Unit of Measure,"",RQD.6,687
Cost Center Account Number,Department Cost Center,RQD.7,319
Item Natural Account Code,Item Natural Account Code,RQD.8,320
Deliver To ID,"",RQD.9,688
Manufacturer Identifier,Manufacturer Identifier,RQ1.2,385
Vendor ID,"",RQ1.4,683
Taxable,Yes/no Indicator,RQ1.6,136
Substitute Allowed,Yes/no Indicator,RQ1.7,136
BP Universal Service Identifier,"",BPO.2,575
BP Processing Requirements,Blood Product Processing Requirements,BPO.3,508
BP Units,"",BPO.6,576
BP Indication for Use,Indication for Use,BPO.13,509
BP Informed Consent Indicator,Yes/no Indicator,BPO.14,136
BP Dispense Status,Blood Product Dispense Status,BPX.2,510
BP Status,BP Observation Status Codes Interpretation,BPX.3,511
BC Component,"",BPX.6,577
BC Donation Type / Intended Use,"",BPX.7,578
CP Commercial Product,Commercial Product,BPX.8,512
BP Blood Group,"",BPX.11,579
BC Special Testing,"",BPX.12,580
BP Units,"",BPX.16,581
Action Code,Segment Action Code,BPX.22,206
BC Component,"",BTX.3,582
BC Blood Group,"",BTX.4,583
CP Commercial Product,Commercial Product,BTX.5,512
BP Units,"",BTX.10,584
BP Transfusion/Disposition Status,Blood Product Transfusion/Disposition Status,BTX.11,513
BP Message Status,BP Observation Status Codes Interpretation,BTX.12,511
BP Adverse Reaction Type,Transfusion Adverse Reaction,BTX.18,514
BP Transfusion Interrupted Reason,Transfusion Interrupted Reason,BTX.19,515
Action Code,Segment Action Code,BTX.21,206
Donation Duration Units,Donation Duration Units,DON.6,932
Intended Procedure Type,Intended Procedure Type,DON.7,933
Actual Procedure Type,Intended Procedure Type,DON.8,933
Donor Eligibility Flag,Yes/no Indicator,DON.9,136
Donor Eligibility Procedure Type,Intended Procedure Type,DON.10,933
Process Interruption,Process Interruption,DON.12,923
Process Interruption Reason,Process Interruption Reason,DON.13,935
Phlebotomy Issue,Phlebotomy Issue,DON.14,925
Intended Recipient Blood Relative,Yes/no Indicator,DON.15,136
Phlebotomy Status,Phlebotomy Status,DON.21,926
Arm Stick,Arm Stick,DON.22,927
Donor Reaction,Yes/no Indicator,DON.27,136
Action Code,Segment Action Code,DON.34,206
Blood Unit Type,Blood Unit Type,BUI.3,566
Weight Units,Weight Units,BUI.5,929
Volume Units,Volume Units,BUI.7,930
Transport Temperature Units,Temperature Units,BUI.12,931
Action Code,Segment Action Code,BUI.13,206
Requested Give Code,"",RXO.1,747
Requested Give Units,"",RXO.4,748
Requested Dosage Form,"",RXO.5,750
Provider's Pharmacy/Treatment Instructions,"",RXO.6,751
Provider's Administration Instructions,"",RXO.7,752
Allow Substitutions,Allow Substitution,RXO.9,161
Requested Dispense Code,"",RXO.10,753
Requested Dispense Units,"",RXO.12,754
Needs Human Review,Yes/no Indicator,RXO.16,136
Requested Give Strength Units,"",RXO.19,756
Indication,"",RXO.20,758
Requested Give Rate Units,"",RXO.22,760
Supplementary Code,"",RXO.24,762
Requested Drug Strength Volume Units,"",RXO.26,764
Pharmacy Order Type,Pharmacy Order Types,RXO.27,480
Mood Code,Mood Codes,RXO.31,725
Dispensing Pharmacy,"",RXO.32,765
Route,Route of Administration,RXR.1,162
Administration Site,Body Parts,RXR.2,550
Administration Device,Administration Device,RXR.3,164
Administration Method,Administration Method,RXR.4,165
Routing Instruction,"",RXR.5,766
Administration Site Modifier,Body Site Modifier,RXR.6,495
RX Component Type,RX Component Type,RXC.1,166
Component Code,"",RXC.2,697
Component Units,"",RXC.4,698
Component Strength Units,"",RXC.6,699
Supplementary Code,"",RXC.7,762
Component Drug Strength Volume Units,"",RXC.9,701
Dispense Units,"",RXC.11,703
Give Code,Vaccines Administered,RXE.2,292
Give Units,"",RXE.5,715
Give Dosage Form,"",RXE.6,716
Provider's Administration Instructions,"",RXE.7,752
Substitution Status,Substitution Status,RXE.9,167
Dispense Units,"",RXE.11,720
Needs Human Review,Yes/no Indicator,RXE.20,136
Special Dispensing Instructions,"",RXE.21,721
Give Rate Units,"",RXE.24,722
Give Strength Units,"",RXE.26,723
Give Indication,"",RXE.27,724
Dispense Package Size Unit,"",RXE.29,726
Dispense Package Method,Dispense Method,RXE.30,321
Supplementary Code,"",RXE.31,762
Give Drug Strength Volume Units,"",RXE.34,729
Controlled Substance Schedule,Controlled Substance Schedule,RXE.35,477
Formulary Status,Formulary Status,RXE.36,478
Pharmaceutical Substance Alternative,"",RXE.37,730
Pharmacy of Most Recent Fill,"",RXE.38,732
Dispensing Pharmacy,"",RXE.40,765
Pharmacy Order Type,Pharmacy Order Types,RXE.44,480
Dispense/Give Code,Vaccines Administered,RXD.2,292
Actual Dispense Units,"",RXD.5,704
Actual Dosage Form,"",RXD.6,705
Substitution Status,Substitution Status,RXD.11,167
Needs Human Review,Yes/no Indicator,RXD.14,136
Special Dispensing Instructions,"",RXD.15,721
Actual Strength Unit,"",RXD.17,707
Indication,"",RXD.21,758
Dispense Package Size Unit,"",RXD.23,726
Dispense Package Method,Dispense Method,RXD.24,321
Supplementary Code,"",RXD.25,762
Initiating Location,"",RXD.26,711
Packaging/Assembly Location,"",RXD.27,712
Actual Drug Strength Volume Units,"",RXD.29,713
Dispense to Pharmacy,"",RXD.30,714
Pharmacy Order Type,Pharmacy Order Types,RXD.32,480
Dispense Type,Dispense Type,RXD.33,484
Give Code,Vaccines Administered,RXG.4,292
Give Units,"",RXG.7,715
Give Dosage Form,"",RXG.8,716
Administration Notes,"",RXG.9,737
Substitution Status,Substitution Status,RXG.10,167
Needs Human Review,Yes/no Indicator,RXG.12,136
Special Administration Instructions,"",RXG.13,738
Give Rate Units,"",RXG.16,722
Give Strength Units,"",RXG.18,723
Indication,"",RXG.22,758
Give Drug Strength Volume Units,"",RXG.24,744
Give Barcode Identifier,"",RXG.25,745
Pharmacy Order Type,Pharmacy Order Types,RXG.26,480
Dispense to Pharmacy,"",RXG.27,714
Dispense Units,"",RXG.33,746
Administered Code,Vaccines Administered,RXA.5,292
Administered Units,"",RXA.7,689
Administered Dosage Form,"",RXA.8,690
Administration Notes,"",RXA.9,737
Administered Strength Units,"",RXA.14,692
Substance/Treatment Refusal Reason,"",RXA.18,693
Indication,"",RXA.19,758
Completion Status,Completion Status,RXA.20,322
Action Code – RXA,Segment Action Code,RXA.21,206
Administered Drug Strength Volume Units,"",RXA.24,695
Administered Barcode Identifier,"",RXA.25,696
Pharmacy Order Type,Pharmacy Order Types,RXA.26,480
Bolus Type,Bolus Type,RXV.2,917
Bolus Dose Amount Units,"",RXV.4,767
Bolus Dose Volume Units,"",RXV.6,768
PCA Type,PCA Type,RXV.7,918
PCA Dose Amount Units,"",RXV.9,769
PCA Dose Amount Volume Units,"",RXV.11,770
Max Dose Amount Units,"",RXV.13,772
Max Dose Amount Volume Units,"",RXV.15,773
Action Code,Segment Action Code,RXV.22,206
Action Code,Segment Action Code,CDO.2,206
Cumulative Dosage Limit Time Interval,Cumulative Dosage Limit UoM,CDO.4,924
Query Response Status,Query Response Status,QAK.2,208
Message Query Name,Query Name,QAK.3,471
Message Query Name,Query Name,QID.2,471
Message Query Name,Query Name,QPD.1,471
Match Reason Code,Match Reason,QRI.2,392
Algorithm Descriptor,Match Algorithms,QRI.3,393
Query Priority,Query Priority,RCP.1,91
Quantity Limited Request,Quantity Limited Request,RCP.2,126
Response Modality,Response Modality,RCP.3,394
Modify Indicator,Modify Indicator,RCP.5,395
Segment group inclusion,Segment Group,RCP.7,391
Column Description,Data Types,RDF.2,440
Transaction Type,Transaction Type,FT1.6,17
Transaction Code,Transaction Code,FT1.7,132
Department Code,Department Code,FT1.13,49
Health Plan ID,Insurance Plan ID,FT1.14,72
Fee Schedule,Fee Schedule,FT1.17,24
Patient Type,Patient Type,FT1.18,18
Diagnosis Code - FT1,Diagnosis Code,FT1.19,51
Performed By Code,Performed by,FT1.20,84
Advanced Beneficiary Notice Code,Advanced Beneficiary Notice Code,FT1.27,339
Medically Necessary Duplicate Procedure Reason,Medically Necessary Duplicate Procedure Reason,FT1.28,476
NDC Code,NDC Codes,FT1.29,549
Revenue Code,Revenue code,FT1.41,456
Service Reason Code,Service Reason,FT1.56,964
Diagnosis Code - DG1,Diagnosis Code,DG1.3,51
Diagnosis Type,Diagnosis Type,DG1.6,52
Major Diagnostic Category,Major Diagnostic Category,DG1.7,118
Diagnostic Related Group,Diagnosis Related Group,DG1.8,55
DRG Approval Indicator,Yes/no Indicator,DG1.9,136
DRG Grouper Review Code,DRG Grouper Review Code,DG1.10,56
Outlier Type,Outlier Type,DG1.11,83
Diagnosis Priority,Diagnosis Priority,DG1.15,359
Diagnosis Classification,Diagnosis Classification,DG1.17,228
Confidential Indicator,Yes/no Indicator,DG1.18,136
Diagnosis Action Code,Segment Action Code,DG1.21,206
DRG CCL Value Code,CCL Value,DG1.23,728
DRG Grouping Usage,Yes/no Indicator,DG1.24,136
DRG Diagnosis Determination Status,DRG Diagnosis Determination Status,DG1.25,731
Present On Admission,Present On Admission (POA) Indicator,DG1.26,895
Diagnostic Related Group,Diagnosis Related Group,DRG.1,55
DRG Approval Indicator,Yes/no Indicator,DRG.3,136
DRG Grouper Review Code,DRG Grouper Review Code,DRG.4,56
Outlier Type,Outlier Type,DRG.5,83
DRG Payor,DRG Payor,DRG.8,229
Confidential Indicator,Yes/no Indicator,DRG.10,136
DRG Transfer Type,Transfer Type,DRG.11,415
Grouper Status,Grouper Status,DRG.13,734
PCCL Value Code,CCL Value,DRG.14,728
Status Patient,DRG Status Patient,DRG.17,739
Status Financial Calculation,DRG Status Financial Calculation,DRG.20,742
Status Gender,DRG Grouping Status,DRG.26,749
Status Age,DRG Grouping Status,DRG.27,749
Status Length of Stay,DRG Grouping Status,DRG.28,749
Status Same Day Flag,DRG Grouping Status,DRG.29,749
Status Separation Mode,DRG Grouping Status,DRG.30,749
Status Weight at Birth,Status Weight At Birth,DRG.31,755
Status Respiration Minutes,DRG Status Respiration Minutes,DRG.32,757
Status Admission,Status Admission,DRG.33,759
Procedure Functional Type,Procedure Functional Type,PR1.6,230
Anesthesia Code,Anesthesia Code,PR1.9,19
Consent Code,Consent Code,PR1.13,59
Procedure Priority,Procedure Priority,PR1.14,418
Associated Diagnosis Code,Diagnosis Code,PR1.15,51
Procedure DRG Type,Procedure DRG Type,PR1.17,416
Tissue Type Code,Tissue Type Code,PR1.18,417
Procedure Action Code,Segment Action Code,PR1.20,206
DRG Procedure Determination Status,DRG Procedure Determination Status,PR1.21,761
DRG Procedure Relevance,DRG Procedure Relevance,PR1.22,763
Respiratory Within Surgery,Yes/no Indicator,PR1.24,136
Guarantor Administrative Sex,Administrative Sex,GT1.9,1
Guarantor Type,Guarantor Type,GT1.10,68
Guarantor Relationship,Relationship,GT1.11,63
Guarantor Employment Status,Employment Status,GT1.20,66
Guarantor Billing Hold Flag,Yes/no Indicator,GT1.22,136
Guarantor Credit Rating Code,Guarantor Credit Rating Code,GT1.23,341
Guarantor Death Flag,Yes/no Indicator,GT1.25,136
Guarantor Charge Adjustment Code,Patient Charge Adjustment,GT1.26,218
Guarantor Marital Status Code,Marital Status,GT1.30,2
Living Dependency,Living Dependency,GT1.33,223
Ambulatory Status,Ambulatory Status,GT1.34,9
Citizenship,Citizenship,GT1.35,171
Primary Language,Primary Language,GT1.36,296
Living Arrangement,Living Arrangement,GT1.37,220
Publicity Code,Publicity Code,GT1.38,215
Protection Indicator,Yes/no Indicator,GT1.39,136
Student Indicator,Student Status,GT1.40,231
Religion,Religion,GT1.41,6
Nationality,Nationality,GT1.43,212
Ethnic Group,Ethnic Group,GT1.44,189
Contact Person's Name,Name Type,GT1.45,200
Contact Reason,Contact Reason,GT1.47,222
Contact Relationship,Relationship,GT1.48,63
Job Code/Class,Job Code,GT1.50,327
Handicap,Handicap,GT1.52,295
Job Status,Job Status,GT1.53,311
Guarantor Race,Race,GT1.55,5
VIP Indicator,VIP Indicator,GT1.57,99
Health Plan ID,Insurance Plan ID,IN1.2,72
Plan Type,Plan ID,IN1.15,86
Insured's Relationship To Patient,Relationship,IN1.17,63
Assignment Of Benefits,Assignment of Benefits,IN1.20,135
Coordination Of Benefits,Coordination of Benefits,IN1.21,173
Notice Of Admission Flag,Yes/no Indicator,IN1.23,136
Report Of Eligibility Flag,Yes/no Indicator,IN1.25,136
Release Information Code,Release Information,IN1.27,93
Type Of Agreement Code,Type of Agreement,IN1.31,98
Billing Status,Billing Status,IN1.32,22
Company Plan Code,Company Plan Code,IN1.35,42
Insured's Employment Status,Employment Status,IN1.42,66
Insured's Administrative Sex,Administrative Sex,IN1.43,1
Prior Insurance Plan ID,Insurance Plan ID,IN1.46,72
Coverage Type,Coverage Type,IN1.47,309
Handicap,Handicap,IN1.48,295
Signature Code,Signature Code,IN1.50,535
VIP Indicator,VIP Indicator,IN1.53,99
Insurance Action Code,Segment Action Code,IN1.55,206
Employer Information Data,Employer Information Data,IN2.4,139
Mail Claim Party,Mail Claim Party,IN2.5,137
Dependent Of Military Recipient,Military Recipient,IN2.11,342
Military Service,Military Service,IN2.14,140
Military Rank/Grade,Military Rank/Grade,IN2.15,141
Military Status,Military Status,IN2.16,142
Military Non-Avail Cert On File,Yes/no Indicator,IN2.18,136
Baby Coverage,Yes/no Indicator,IN2.19,136
Combine Baby Bill,Yes/no Indicator,IN2.20,136
Non-Covered Insurance Code,Non-covered Insurance Code,IN2.24,143
Eligibility Source,Eligibility Source,IN2.27,144
Living Dependency,Living Dependency,IN2.31,223
Ambulatory Status,Ambulatory Status,IN2.32,9
Citizenship,Citizenship,IN2.33,171
Primary Language,Primary Language,IN2.34,296
Living Arrangement,Living Arrangement,IN2.35,220
Publicity Code,Publicity Code,IN2.36,215
Protection Indicator,Yes/no Indicator,IN2.37,136
Student Indicator,Student Status,IN2.38,231
Religion,Religion,IN2.39,6
Nationality,Nationality,IN2.41,212
Ethnic Group,Ethnic Group,IN2.42,189
Marital Status,Marital Status,IN2.43,2
Job Code/Class,Job Code,IN2.47,327
Job Status,Job Status,IN2.48,311
Employer Contact Reason,Contact Reason,IN2.51,222
Insured's Contact Person Reason,Contact Reason,IN2.54,222
Insurance Co Contact Reason,- Insurance Company Contact Reason,IN2.57,232
Policy Scope,Policy Scope,IN2.59,312
Policy Source,Policy Source,IN2.60,313
Guarantor's Relationship to Insured,Relationship,IN2.62,63
Military Handicapped Program,Military Handicapped Program Code,IN2.65,343
Suspend Flag,Yes/no Indicator,IN2.66,136
Copay Limit Flag,Yes/no Indicator,IN2.67,136
Stoploss Limit Flag,Yes/no Indicator,IN2.68,136
Race,Race,IN2.71,5
Patient's Relationship to Insured,Patient's Relationship to Insured,IN2.72,344
Certification Required,Yes/no Indicator,IN3.4,136
Non-Concur Code/Description,Non-Concur Code/Description,IN3.12,233
Physician Reviewer,Physician ID,IN3.14,10
Appeal Reason,Appeal Reason,IN3.17,345
Certification Agency,Certification Agency,IN3.18,346
Pre-Certification Requirement,Yes/no Indicator,IN3.20,136
Second Opinion Status,Second Opinion Status,IN3.23,151
Second Opinion Documentation Received,Second Opinion Documentation Received,IN3.24,152
Second Opinion Physician,Physician ID,IN3.25,10
Certification Type,Certification Type Code,IN3.26,921
Certification Category,Certification Category Code,IN3.27,922
Online Verification Result,Online Verification Result,IN3.29,970
Online Verification Result Error Code,Online Verification Result Error Code,IN3.30,971
Accident Code,Accident Code,ACC.2,50
Auto Accident State,State/Province,ACC.4,347
Accident Job Related Indicator,Yes/no Indicator,ACC.5,136
Accident Death Indicator,Yes/no Indicator,ACC.6,136
Police Notified Indicator,Yes/no Indicator,ACC.10,136
Condition Code,Condition Code,UB2.3,43
Discharge Care Provider,Physician ID,ABS.1,10
Transfer Medical Service Code,Hospital Service,ABS.2,69
Severity of Illness Code,Severity of Illness Code,ABS.3,421
Triage Code,Triage Code,ABS.6,422
Case Category Code,Case Category Code,ABS.9,423
Caesarian Section Indicator,Yes/no Indicator,ABS.10,136
Gestation Category Code,Gestation Category Code,ABS.11,424
Newborn Code,Newborn Code,ABS.13,425
Stillborn Indicator,Yes/no Indicator,ABS.14,136
Blood Product Code,Blood Product Code,BLC.1,426
Risk Management Incident Code,Risk Management Incident Code,RMI.1,427
Incident Type Code,Incident Type Code,RMI.3,428
Type of Bill Code,Type of Bill Code,GP1.1,455
Revenue Code,Revenue code,GP1.2,456
Overall Claim Disposition Code,Overall Claim Disposition Code,GP1.3,457
