Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0011,no longer used,CHARGING SYSTEM,Table of codes for charging system. Not used after HL7 2.1.  No suggested values.,ChargingSystem,,N/A (0),,"contains values, published erroneously",,2.16.840.1.113883.12.11,,,,,10,2.1,2.9,
0012,no longer used,STOCK LOCATION,Table of codes specifying the stock location.  Table is no longer published as part of the relased standard after version 2.2.,StockLocation,,N/A (0),,in appendix only,,2.16.840.1.113883.12.12,2.16.840.1.113883.18.12,http://terminology.hl7.org/CodeSystem/v2-0012,2.16.840.1.113883.21.13,http://terminology.hl7.org/ValueSet/v2-0012,10,2.1,2.9,1
0016,no longer used,ISOLATION,Table of codes that identify reasons for patient isolation. Not used after HL7 2.1.,ISOLATION,,N/A (0),,"contains values, published erroneously",,2.16.840.1.113883.12.16,,,,,10,2.1,2.9,
0017,User,Transaction Type,Table of codes specifying a type of financial transaction.,TransactionType,fm,Example (1),FT1-6,,,2.16.840.1.113883.12.17,2.16.840.1.113883.18.13,http://terminology.hl7.org/CodeSystem/v2-0017,2.16.840.1.113883.21.14,http://terminology.hl7.org/ValueSet/v2-0017,10,2.1,2.9,1
0018,User,Patient Type,Table of codes specifying the patient type.  No suggested values.,PatientType,pa,N/A (0),PV1-18,,,2.16.840.1.113883.12.18,,,,,10,2.1,2.9,
0019,User,Anesthesia Code,Table of codes specifying the anesthesia used during the procedure.  No suggested values.,AnesthesiaCode,fm,N/A (0),PR1-9,,,2.16.840.1.113883.12.19,,,,,10,2.1,2.9,
0020,no longer used,UNUSED TABLE,Not used in HL7 Version 2.x messaging; publishing artifact.,,,N/A (0),,"Contains values, published erroneously",,2.16.840.1.113883.12.20,,,,,10,2.1,2.9,
0021,User,Bad Debt Agency Code,Table of codes specifying the bad debt agency to which the account was transferred.  No suggested values.,BadDebtAgencyCode,pa,N/A (0),PV1-31,,,2.16.840.1.113883.12.21,,,,,10,2.1,2.9,
0022,User,Billing Status,"Table of codes specifying whether the particular insurance has been billed and, if so, the type of bill.  No suggested values.",BillingStatus,fm,N/A (0),IN1-32,,,2.16.840.1.113883.12.22,,,,,10,2.1,2.9,
0023,User,Admit Source,Table of codes specifying where the patient was admitted.  No suggested values.,AdmitSource,pa,N/A (0),PV1-14,,,2.16.840.1.113883.12.23,,,,,10,2.1,2.9,
0024,User,Fee Schedule,Table of codes specifying the appropriate fee schedule to be used for this transaction posting.  No suggested values.,FeeSchedule,fm,N/A (0),FT1-17,,,2.16.840.1.113883.12.24,,,,,10,2.1,2.9,
0027,HL7,Priority,HL7-defined table of codes specifying the allowed priorities for obtaining the specimen.,Priority,oo,Universal (3),OM4-13,,,2.16.840.1.113883.12.27,2.16.840.1.113883.18.15,http://terminology.hl7.org/CodeSystem/v2-0027,2.16.840.1.113883.21.16,http://terminology.hl7.org/ValueSet/v2-0027,10,2.1,2.9,1
0032,User,Charge/Price Indicator,Table of codes specifying which price schedule is to be used for room and bed charges.  No suggested values.,Charge_PriceIndicator,pa,N/A (0),PV1-21,,,2.16.840.1.113883.12.32,,,,,10,2.1,2.9,
0033,HL7,ROUTE,"Table of codes that indicate a means of administrating a medication dose. As of HL7 version 2.3, it was replaced by tables 0162 Route of Administration and table 0165 Administration Method.",ROUTE,,Universal (3),,replaced by 0165,,2.16.840.1.113883.12.33,2.16.840.1.113883.18.16,http://terminology.hl7.org/CodeSystem/v2-0033,2.16.840.1.113883.21.17,http://terminology.hl7.org/ValueSet/v2-0033,10,2.1,2.9,1
0034,HL7,SITE ADMINISTERED,"Table of codes specifying a location on the body where a dose is to be administered, e.g., IV, IM, Subcutaneous.   Used in HL7 Version 2.1 messaging only in the RX1 segment; as of version 2.2 it has been replaced with table 0163 Body Site.",SiteAdminstered,,Universal (3),,replaced by 0163,,2.16.840.1.113883.12.34,2.16.840.1.113883.18.17,http://terminology.hl7.org/CodeSystem/v2-0034,2.16.840.1.113883.21.18,http://terminology.hl7.org/ValueSet/v2-0034,10,2.1,2.9,1
0038,HL7,Order status,"HL7-defined table of codes specifying the status of an order. The purpose of these values are to report the status of an order either upon request (solicited), or when the status changes (unsolicited). The values are not intended to initiate action.  It is assumed that the order status value always reflects the status as it is known to the sending application at the time that a message is sent.  Only the filler can originate these values.",OrderStatus,oo,Universal (3),ORC-5,,,2.16.840.1.113883.12.38,2.16.840.1.113883.18.18,http://terminology.hl7.org/CodeSystem/v2-0038,2.16.840.1.113883.21.21,http://terminology.hl7.org/ValueSet/v2-0038,10,2.1,2.9,1
0042,User,Company Plan Code,Table of codes specifying an insurance company plan uniquely.  No suggested values.,CompanyPlanCode,fm,N/A (0),IN1-35,,,2.16.840.1.113883.12.42,,,,,10,2.1,2.9,
0043,User,Condition Code,Table of codes specifying the condition code.  These codes are defined by CMS or other regulartory agencies.  No suggested values.,ConditionCode,fm,N/A (0),UB2-3,,,2.16.840.1.113883.12.43,,,,,10,2.1,2.9,
0044,User,Contract Code,Table of codes specifying the type of contract entered into by the healthcare facility and the guarantor for the purpose of settling outstanding account balances.  No suggested values.,ContractCode,pa,N/A (0),PV1-24,,,2.16.840.1.113883.12.44,,,,,10,2.1,2.9,
0045,User,Courtesy Code,Table of codes specifying whether the patient will be extended certain special courtesies.  No suggested values.,CourtesyCode,pa,N/A (0),PV1-22,,,2.16.840.1.113883.12.45,,,,,10,2.1,2.9,
0046,User,Credit Rating,Table of codes specifying past credit experience.  No suggested values.,CreditRating,pa,N/A (0),PV1-23,,,2.16.840.1.113883.12.46,,,,,10,2.1,2.9,
0047,User,DANGER CODE,HL7-defined table of concepts which specify actions to be taken with respect to the specimens that accompany or precede an order.  The purpose of these are to further qualify (when appropriate) the general action indicated by the order control code  (code system 2.16.840.1.133883.18.25).,DangerCode,,N/A (0),,defined as table for all versions and assign to OBR-12,,2.16.840.1.113883.12.47,,,,,10,2.1,2.9,
0048,HL7,What subject filter,HL7-defined table of concepts which specify the kind of information that is required to satisfy a query request.  The values define the type of transaction inquiry.,WhatSubjectFilter,,Universal (3),,,,2.16.840.1.113883.12.48,2.16.840.1.113883.18.20,http://terminology.hl7.org/CodeSystem/v2-0048,2.16.840.1.113883.21.23,http://terminology.hl7.org/ValueSet/v2-0048,10,2.1,2.9,1
0049,User,Department Code,Table of codes specifying the department code that controls the transaction code.  No suggested values.,DepartmentCode,fm,N/A (0),FT1-13,,,2.16.840.1.113883.12.49,,,,,10,2.1,2.9,
0050,User,Accident Code,Table of codes specifying the type of accident.  No suggested values.,AccidentCode,fm,N/A (0),ACC-2,,,2.16.840.1.113883.12.50,,,,,10,2.1,2.9,
0051,User,Diagnosis Code,Table of codes specifying the primary diagnosis code for billing purposes.  No suggested values.,DiagnosisCode,fm,N/A (0),FT1-19,,,2.16.840.1.113883.12.51,,,,,10,2.1,2.9,
0052,User,Diagnosis Type,Table of codes that specify a type of diagnosis being sent.,DiagnosisType,fm,Representative (2),DG1-6,,,2.16.840.1.113883.12.52,2.16.840.1.113883.18.21,http://terminology.hl7.org/CodeSystem/v2-0052,2.16.840.1.113883.21.24,http://terminology.hl7.org/ValueSet/v2-0052,10,2.1,2.9,1
0053,User,Diagnosis Coding Method,Table of codes specifying a diagnosis coding method.  No suggested values.  Table is no longer published as part of the released standard after version 2.5.1.,DiagnosisCodingMethod,,N/A (0),,,,2.16.840.1.113883.12.53,,,,,10,2.1,2.9,
0055,User,Diagnosis Related Group,Table of codes specifying the diagnostic related group (DRG) for the transaction.  No suggested values.,DiagnosisRelatedGroup,fm,N/A (0),"DMI-1, DRG-1",,,2.16.840.1.113883.12.55,,,,,10,2.1,2.9,
0056,User,DRG Grouper Review Code,Table of codes specifying that the grouper results have been reviewed and approved.  No suggested values.,DrgGrouperReviewCode,fm,N/A (0),DRG-4,,,2.16.840.1.113883.12.56,,,,,10,2.1,2.9,
0057,User,DRUG CODE,"HL7-defined table of concepts which specify a categorical assessment of an observation value (carried in HL7 V2.x field OBX.5), such as ""Normal"", ""Abnormal"", ""Positive"", ""Negative"", ""Resistant"", ""Susceptible"", etc.",Drug,,N/A (0),,verify? In RX1-14,,2.16.840.1.113883.12.57,,,,,10,2.1,2.9,
0059,User,Consent Code,Table of codes specifying the type of consent that was obtained for permission to treat the patient.  No suggested values.,ConsentCode,fm,N/A (0),PR1-13,,,2.16.840.1.113883.12.59,,,,,10,2.1,2.9,
0060,User,ERROR CODE,Table of codes that identify an error.  Not used after HL7 2.2.  No suggested values.,Error,,N/A (0),,,,2.16.840.1.113883.12.60,,,,,10,2.1,2.9,
0061,HL7,Check Digit Scheme,HL7-defined table of codes specifying the check digit scheme employed.,CheckDigitScheme,inm,Universal (3),"CX.3, PPN.12, XCN.12, XON.5",,,2.16.840.1.113883.12.61,2.16.840.1.113883.18.22,http://terminology.hl7.org/CodeSystem/v2-0061,2.16.840.1.113883.21.25,http://terminology.hl7.org/ValueSet/v2-0061,10,2.1,2.9,1
0062,User,Event Reason,Table of codes which specify the reason for an event.,EventReason,fm,Example (1),"EVN-4, FC.1",,,2.16.840.1.113883.12.62,2.16.840.1.113883.18.23,http://terminology.hl7.org/CodeSystem/v2-0062,2.16.840.1.113883.21.26,http://terminology.hl7.org/ValueSet/v2-0062,10,2.1,2.9,1
0063,User,Relationship,Table of codes specifying an actual personal relationship that the next of kin/associated party has to a patient.,Relationship,pa,Example (1),"NK1-3, IN1-17",,,2.16.840.1.113883.12.63,2.16.840.1.113883.18.24,http://terminology.hl7.org/CodeSystem/v2-0063,2.16.840.1.113883.21.27,http://terminology.hl7.org/ValueSet/v2-0063,10,2.1,2.9,1
0064,User,Financial Class,Table of codes specifying the financial class assigned to a person.  No suggested values.,FinancialClass,fm,N/A (0),"FC.1, PV1-20",,,2.16.840.1.113883.12.64,,,,,10,2.1,2.9,
0065,HL7,Specimen Action Code,HL7-defined table of codes which specify actions to be taken with respect to the specimens that accompany or precede an order.  The purpose of these are to further qualify (when appropriate) the general action indicated by the order control code ( table 0119).,SpecimenActionCode,oo,Universal (3),OBR-11,,,2.16.840.1.113883.12.65,2.16.840.1.113883.18.25,http://terminology.hl7.org/CodeSystem/v2-0065,2.16.840.1.113883.21.28,http://terminology.hl7.org/ValueSet/v2-0065,10,2.1,2.9,1
0066,User,Employment Status,Table of codes specifying the guarantor's employment status.,EmploymentStatus,fm,Representative (2),GT1-20,,,2.16.840.1.113883.12.66,2.16.840.1.113883.18.26,http://terminology.hl7.org/CodeSystem/v2-0066,2.16.840.1.113883.21.29,http://terminology.hl7.org/ValueSet/v2-0066,10,2.1,2.9,1
0068,User,Guarantor Type,"Table of codes specifying the type of guarantor, e.g., individual, institution, etc.  No suggested values.",GuarantorType,fm,N/A (0),"DRG-33, GT1-10",,,2.16.840.1.113883.12.68,,,,,10,2.1,2.9,
0069,User,Hospital Service,Table of codes specifying the treatment or type of surgery the patient is scheduled to receive.,HospitalService,pa,Example (1),PV1-10,,,2.16.840.1.113883.12.69,2.16.840.1.113883.18.27,http://terminology.hl7.org/CodeSystem/v2-0069,2.16.840.1.113883.21.30,http://terminology.hl7.org/ValueSet/v2-0069,10,2.1,2.9,1
0070,HL7,Specimen Source Codes,"HL7-defined table of concepts which specify sources for speciments for clinical testing.  These concepts are used in HL7 Version 2.x messaging in the OBR segment prior to version 2.7, and was replaced by the concepts in table 0487 Specimen Type and table 0488 Specimen Collection Method as of version 2.5 and thereafter.",SpecimenSource,,Universal (3),,,,2.16.840.1.113883.12.70,2.16.840.1.113883.18.28,http://terminology.hl7.org/CodeSystem/v2-0070,2.16.840.1.113883.21.31,http://terminology.hl7.org/ValueSet/v2-0070,10,2.1,2.9,1
0072,User,Insurance Plan ID,Table of codes specifying the identifier of an insurance plan with which a transaction should be associated.  No suggested values.,InsurancePlanId,oo,N/A (0),"AUT-1, FT1-14, IN1-2",,,2.16.840.1.113883.12.72,,,,,10,2.1,2.9,
0073,User,Interest Rate Code,Table of codes specifying the amount of interest that will be charged the guarantor on any outstanding amounts.  No suggested values.,InterestRateCode,pa,N/A (0),PV1-28,,,2.16.840.1.113883.12.73,,,,,10,2.1,2.9,
0074,HL7,Diagnostic Service Section ID,HL7-defined table of codes which specify a section of a diagnostic service where an observation may be performed.,DiagnosticServiceSectionId,oo,Universal (3),"OBR-24, OM4-49",,,2.16.840.1.113883.12.74,2.16.840.1.113883.18.29,http://terminology.hl7.org/CodeSystem/v2-0074,2.16.840.1.113883.21.32,http://terminology.hl7.org/ValueSet/v2-0074,10,2.1,2.9,1
0075,HL7,REPORT TYPES,Table of codes for report types. Not used after HL7 2.1.  No suggested values.,ReportType,,Universal (3),,,,2.16.840.1.113883.12.75,,,,,10,2.1,2.9,
0076,HL7,Message Type,HL7-defined table of codes which specify message types.,MessageType,inm,Universal (3),MSH-9.1,,,2.16.840.1.113883.12.76,2.16.840.1.113883.18.30,http://terminology.hl7.org/CodeSystem/v2-0076,2.16.840.1.113883.21.33,http://terminology.hl7.org/ValueSet/v2-0076,10,2.1,2.9,1
0078,HL7-EXT,Interpretation Codes,HL7-defined table of codes which specify a categorical assessment of an observation value.,InterpretationCodes,oo,Universal (3),OBX-8,,,2.16.840.1.113883.12.78,2.16.840.1.113883.5.83,,2.16.840.1.113883.1.11.78,http://terminology.hl7.org/ValueSet/v2-0078,10,2.1,2.9,1
0079,User,Location,Table of codes that identify a bed location.  Not used after HL7 v2.2  No suggested values.,Location,,N/A (0),,,,2.16.840.1.113883.12.79,,,,,10,2.1,2.9,
0080,HL7,Nature of Abnormal Testing,HL7-defined table of codes specifying the nature of an abnormal test.,NatureOfAbnormalTesting,oo,Universal (3),OBX-10,,,2.16.840.1.113883.12.80,2.16.840.1.113883.18.32,http://terminology.hl7.org/CodeSystem/v2-0080,2.16.840.1.113883.21.36,http://terminology.hl7.org/ValueSet/v2-0080,10,2.1,2.9,1
0081,User,NOTICE OF ADMISSION,"HL7-defined table of concepts which are used to specify the source of a comment, as used in HL7 Version 2.x messaging in the NTE segment.",NoticeOfAdmission,,N/A (0),,reeplaced by 0136 later on,,2.16.840.1.113883.12.81,,,,,10,2.1,2.9,
0083,User,Outlier Type,Table of codes specifying the type of outlier (i.e. period of care beyond DRG-standard stay in facility) that has been paid.,OutlierType,pa,Representative (2),DRG-5,,,2.16.840.1.113883.12.83,2.16.840.1.113883.18.33,http://terminology.hl7.org/CodeSystem/v2-0083,2.16.840.1.113883.21.37,http://terminology.hl7.org/ValueSet/v2-0083,10,2.1,2.9,1
0084,User,Performed by,"Table of codes specifying a composite number/name of a person/group that performed a test/procedure/transaction, etc.  No suggested values.",PerformedBy,fm,N/A (0),FT1-20,,,2.16.840.1.113883.12.84,,,,,10,2.1,2.9,
0085,HL7,Observation Result Status Codes Interpretation,HL7-defined table of codes which specify observation result status. These codes reflect the current completion status of the results for one Observation Identifier.,ObservationResultStatusCodesInterpretation,oo,Universal (3),OBX-11,,,2.16.840.1.113883.12.85,2.16.840.1.113883.18.34,http://terminology.hl7.org/CodeSystem/v2-0085,2.16.840.1.113883.21.38,http://terminology.hl7.org/ValueSet/v2-0085,10,2.1,2.9,1
0086,User,Plan ID,"Table of codes specifying the coding structure that identifies the various plan types (i.e., Medicare, Medicaid, Blue Cross, HMO, etc.).  No suggested values.",PlanId,oo,N/A (0),IN1-15,,,2.16.840.1.113883.12.86,,,,,10,2.1,2.9,
0087,User,Pre-Admit Test Indicator,Table of codes specifying whether the patient must have pre-admission testing done in order to be admitted.  No suggested values.,Pre-admitTestIndicator,pa,N/A (0),PV1-13,,,2.16.840.1.113883.12.87,,,,,10,2.1,2.9,
0088,User,Procedure Code,"Table of codes specifying a unique identifier assigned to a procedure, if any, associated with a charge.",ProcedureCode,fm,N/A (0),"FT1-25, OBR-44, CDM-7, FT1-25",,,2.16.840.1.113883.12.88,,,,,10,2.1,2.9,
0089,User,Procedure Coding Method,"Table of codes that specify the methodology used to assign a code to a procedure (CPT4, for example).  Used for backwards-compatibility purposes.   No suggestted values.",ProcedureCodingMethod,,N/A (0),,,,2.16.840.1.113883.12.89,,,,,10,2.1,2.9,
0090,User,PROCEDURE TYPE,Table of codes that further define a type of procedure. Not used after HL7 2.2.  No suggested values.,ProcedureType,,N/A (0),,,,2.16.840.1.113883.12.90,,,,,10,2.1,2.9,
0091,HL7,Query Priority,HL7-defined table of codes which specify a time frame in which a querry response is expected.,V2QueryPriority,inm,Universal (3),RCP.1,,,2.16.840.1.113883.12.91,2.16.840.1.113883.18.35,http://terminology.hl7.org/CodeSystem/v2-0091,2.16.840.1.113883.21.39,http://terminology.hl7.org/ValueSet/v2-0091,10,2.1,2.9,1
0092,User,Re-Admission Indicator,"Table of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.",Re-admissionIndicator,,Representative (2),,,,2.16.840.1.113883.12.92,2.16.840.1.113883.18.36,http://terminology.hl7.org/CodeSystem/v2-0092,2.16.840.1.113883.21.40,http://terminology.hl7.org/ValueSet/v2-0092,10,2.1,2.9,1
0093,User,Release Information,Table of codes specifying whether the healthcare provider can release information about a patient and what information can be released.,ReleaseInformation,fm,N/A (0),IN1-27,,,2.16.840.1.113883.12.93,,,,,10,2.1,2.9,
0094,User,REPORT OF ELIGIBILITY,Table of codes that indicate if the insurance sends a report indication that the patient is eligible for benefits and identifying what those benefits are.  Replaced by table 0136 after HL7 2.2.  No suggested values.,ReportOfEligibility,,N/A (0),,,,2.16.840.1.113883.12.94,,,,,10,2.1,2.9,
0096,User,FINANCIAL TRANSACTION CODE,"HL7-defined table of concepts which, for an order, indicate the amount of information to be returned from the filler for the response to the order.  Sometimes the requested level of response may not be possible immediately, but when it is possible, the filler (receiving) application must send the information.  Used in HL7 Version 2.x messaging in the ORC segment.",FinancialTransactionCode,,N/A (0),,replaced by table 0132,,2.16.840.1.113883.12.96,,,,,10,2.1,2.9,
0098,User,Type of Agreement,Table of codes which specify codes to further identify an insurance plan.,TypeOfAgreement,fm,Example (1),IN1-31,,,2.16.840.1.113883.12.98,2.16.840.1.113883.18.37,http://terminology.hl7.org/CodeSystem/v2-0098,2.16.840.1.113883.21.41,http://terminology.hl7.org/ValueSet/v2-0098,10,2.1,2.9,1
0099,User,VIP Indicator,Table of codes specifying a type of VIP.  No suggested values.,VipIndicator,pa,N/A (0),PV1-16,,,2.16.840.1.113883.12.99,,,,,10,2.1,2.9,
0100,HL7,Invocation event,HL7-defined table of codes which specify codes for an event precipitating/triggering a charge activity.,InvocationEvent,inm,Universal (3),"CCD.1, BLG-1",,,2.16.840.1.113883.12.100,2.16.840.1.113883.18.38,http://terminology.hl7.org/CodeSystem/v2-0100,2.16.840.1.113883.21.42,http://terminology.hl7.org/ValueSet/v2-0100,10,2.1,2.9,1
0101,HL7,DISPLAY LEVEL,"HL7-defined table of concepts which specify the maximum length of a query response that can be accepted by a requesting system, and are expressed as units of mesaure of query response objects.  Used in HL7 Version 2.x query messaging.",DisplayLevel,,N/A (0),,,,2.16.840.1.113883.12.101,,,,,10,2.1,2.9,
0102,HL7,Delayed acknowledgment type,HL7-defined table of concepts which specify a response type used in deferred processing two phase reply for delayed acknowldgement mode of the original acknowledgement mechanism defined in HL7 Version 2.x messaging.,DelayedAcknowledgmentType,,Universal (3),,,,2.16.840.1.113883.12.102,2.16.840.1.113883.18.39,http://terminology.hl7.org/CodeSystem/v2-0102,2.16.840.1.113883.21.43,http://terminology.hl7.org/ValueSet/v2-0102,10,2.1,2.9,1
0103,HL7,Processing ID,"HL7-defined table of codes which specify whether the message is part of a production, training or debugging system.",ProcessingId,inm,Universal (3),PT.1,,,2.16.840.1.113883.12.103,2.16.840.1.113883.18.40,http://terminology.hl7.org/CodeSystem/v2-0103,2.16.840.1.113883.21.44,http://terminology.hl7.org/ValueSet/v2-0103,10,2.1,2.9,1
0104,HL7,Version ID,HL7-defined table of codes which are used to identify an HL7 version in the Version 2.x family of published standards.,VersionId,inm,Universal (3),VID.1,,,2.16.840.1.113883.12.104,2.16.840.1.113883.18.41,http://terminology.hl7.org/CodeSystem/v2-0104,2.16.840.1.113883.21.45,http://terminology.hl7.org/ValueSet/v2-0104,10,2.1,2.9,1
0105,HL7,Source of Comment,HL7-defined table of codes which are used to specify the source of a comment.,SourceOfComment,inm,Universal (3),NTE-2,,,2.16.840.1.113883.12.105,2.16.840.1.113883.18.42,http://terminology.hl7.org/CodeSystem/v2-0105,2.16.840.1.113883.21.46,http://terminology.hl7.org/ValueSet/v2-0105,10,2.1,2.9,1
0106,HL7,Query/response format code,HL7-defined table of concepts which specify which of several types of formats for data to be returned in response to a query.,Query_ResponseFormatCode,,Universal (3),,,,2.16.840.1.113883.12.106,2.16.840.1.113883.18.43,http://terminology.hl7.org/CodeSystem/v2-0106,2.16.840.1.113883.21.47,http://terminology.hl7.org/ValueSet/v2-0106,10,2.1,2.9,1
0107,HL7,Deferred response type,"HL7-defined table of concepts which specify which type of deferred query resonse is desired, as specified with the query parameters.",DeferredResponseType,,Universal (3),,,,2.16.840.1.113883.12.107,2.16.840.1.113883.18.44,http://terminology.hl7.org/CodeSystem/v2-0107,2.16.840.1.113883.21.48,http://terminology.hl7.org/ValueSet/v2-0107,10,2.1,2.9,1
0108,HL7,Query results level,HL7-defined table of concepts which are used to control level of detail in query results.,QueryResultsLevel,,Universal (3),,,,2.16.840.1.113883.12.108,2.16.840.1.113883.18.45,http://terminology.hl7.org/CodeSystem/v2-0108,2.16.840.1.113883.21.49,http://terminology.hl7.org/ValueSet/v2-0108,10,2.1,2.9,1
0109,HL7,Report priority,HL7-defined table of concepts which specify the priority associated with a report or update run using a query.,ReportPriority,,Universal (3),,,,2.16.840.1.113883.12.109,2.16.840.1.113883.18.46,http://terminology.hl7.org/CodeSystem/v2-0109,2.16.840.1.113883.21.50,http://terminology.hl7.org/ValueSet/v2-0109,10,2.1,2.9,1
0110,User,Transfer to Bad Debt Code,Table of codes specifying that the account was transferred to bad debts and gives the reason.  No suggested values.,TransferToBadDebtCode,pa,N/A (0),PV1-29,,,2.16.840.1.113883.12.110,,,,,10,2.1,2.9,
0111,User,Delete Account Code,Table of codes specifying that the account was deleted from the file and gives the reason.  No suggested values.,DeleteAccountCode,pa,N/A (0),PV1-34,,,2.16.840.1.113883.12.111,,,,,10,2.1,2.9,
0112,User,Discharge Disposition,"Table of codes which specify the disposition of the patient at time of discharge (i.e., discharged to home, expired, etc.).  No suggested values.  In the US, this field should use the Official Uniform Billing (UB) 04 2008 numeric codes found on form locator 17.",DischargeDisposition,pa,N/A (0),PV1-36,,UTG Missing CodeSystem,2.16.840.1.113883.12.112,2.16.840.1.113883.18.438,http://terminology.hl7.org/CodeSystem/v2-0112,2.16.840.1.113883.21.459,http://terminology.hl7.org/ValueSet/v2-0112,10,2.1,2.9,1
0113,User,Discharged to Location,Table of codes specifying the healthcare facility to which the patient was discharged.  No suggested values.,DischargedToLocation,pa,N/A (0),DLD.1. PV1-37,,,2.16.840.1.113883.12.113,,,,,10,2.1,2.9,
0114,User,Diet Type,Table of codes specifying a special diet type for a patient.  No suggested values.,DietType,pa,N/A (0),DLD.1. PV1-38,,,2.16.840.1.113883.12.114,,,,,10,2.1,2.9,
0115,User,Servicing Facilities,Table of codes specifying the healthcare facility with which this visit is associated in a multiple facility environment.  No suggested values.,ServicingFacilities,pa,N/A (0),DLD.1. PV1-39,,,2.16.840.1.113883.12.115,,,,,10,2.1,2.9,
0116,User,Bed Status,"Table of codes which specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.",BedStatus,pa,Example (1),DLD.1. PV1-40,,,2.16.840.1.113883.12.116,2.16.840.1.113883.18.47,http://terminology.hl7.org/CodeSystem/v2-0116,2.16.840.1.113883.21.51,http://terminology.hl7.org/ValueSet/v2-0116,10,2.1,2.9,1
0117,User,Account Status,Table of codes specifying the account status.  No suggested values.,AccountStatus,pa,N/A (0),"NPU-2, PV1-41",,,2.16.840.1.113883.12.117,,,,,10,2.1,2.9,
