"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-331","Environment Setup","","Make clear the subsumptions in http://terminology.hl7.org/CodeSystem/v2-0203","richardt","2022-06-22 05:57","2022-08-25 10:44","Medium","richardt","","","","","","","","","","","","","","","","","","","","","","","","","2022-06-22 06:11;richardt;This is important as [Identifier.type|http://hl7.org/fhir/datatypes.html#identifier] is bound [extensibly|https://hl7.org/fhir/terminologies.html#extensible] to [IdentifierType|http://hl7.org/fhir/valueset-identifier-type.html]. This means that any instance of Identifier.type using a coding outside of [IdentifierType|http://hl7.org/fhir/valueset-identifier-type.html] may also need to use a coding inside of [IdentifierType|http://hl7.org/fhir/valueset-identifier-type.html]. For example uses of UPIN must also use the coding PRN, and uses of LACSN must also include ACSN.

The full range of these constraints is not documented anywhere, and should be.

See Zulip [Extensible binding of Identifier.type|https://chat.fhir.org/#narrow/stream/179177-conformance/topic/Extensible.20binding.20of.20Identifier.2Etype/near/286992151]","2022-06-22 07:04;tedhl7geek;A decision was taken about 8 years ago when the v2 tables were model-mapped to HL7 Code Systems that all v2 table values are flat, ie NO hierarchy and NO explicit subsumption.    Therefore doing what is requested in this ticket is a violation of that policy.   Any change to the decisions needs to be deliberated by the Vocabulary WG.  [~rhausam]  was there for the decision; this position was proposed and championed by Jim Case at the time.  ","2022-06-22 10:42;richardt;That makes the technical problem smaller. Consistent use of [Identifier.type|http://hl7.org/fhir/datatypes.html#identifier] does not need a full hierarchy, just a decision as to which members of [identifierType CodeSystem|https://terminology.hl7.org/3.1.0/CodeSystem-v2-0203.html] can be used alone in Identifier.type, and which need to be used together with a value from [IdentifierType ValueSet|http://hl7.org/fhir/valueset-identifier-type.html],","2022-06-22 10:43;richardt;If it is decided that Identifier.type can have, for example, the coding LACSN without also having the coding ACSN, that needs to be documented clearly in the definition of [Identifier.type|http://hl7.org/fhir/datatypes.html#identifier] or [IdentifierType ValueSet|http://hl7.org/fhir/valueset-identifier-type.html].

And guidance needs to be made about how to decide for local codes when one from [IdentifierType ValueSet|http://hl7.org/fhir/valueset-identifier-type.html] is required.","2022-08-25 10:44;FrankOemig;Agree, we cannot bring this forward without major changes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-330","Sent For Implementation","","Add United States Employer Identification Number (EIN) per HTA","jsnell","2022-06-13 01:39","2022-08-12 01:29","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","https://confluence.hl7.org/pages/viewpage.action?pageId=131049500","https://confluence.hl7.org/pages/viewpage.action?pageId=134940963","","","","","","","","","","","","","","","","","","","","","2022-06-14 11:48;jsnell;Could not link to related HTA ticket because it has been closed but it is HTA-74.","2022-07-14 07:25;jsnell;Changes reviewed on 2022-07-14 HTA call.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-329","Sent For Implementation","","Resolve 6 Broken Links due to Telecom Issues","jsnell","2022-05-31 08:45","2022-08-24 10:09","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=107217013","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","https://confluence.hl7.org/pages/viewpage.action?pageId=131049500","https://confluence.hl7.org/pages/viewpage.action?pageId=55937230","","","","","","","","","","","","","","","","","","","","2022-08-24 10:09;jsnell;Broken links look resolved in published example. Unfortunately, 17 have been introduced by another code system. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-328","Sent For Implementation","","Add X12 Claim Adjustment Reason Codes per HTA","jsnell","2022-05-26 08:17","2022-06-16 07:18","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","","","","","","","","","","","","","","","","","","","","","","","2022-06-16 06:17;jsnell;Quick links to CS/NS:

[https://build.fhir.org/ig/HL7/UTG/branches/UP-328-add-x12-claim-adjustment-reason-codes-per-hta/CodeSystem-X12ClaimAdjustmentReasonCodes.html]

[https://build.fhir.org/ig/HL7/UTG/branches/UP-328-add-x12-claim-adjustment-reason-codes-per-hta/NamingSystem-X12ClaimAdjustmentReasonCodes.html] ","2022-06-16 07:18;jsnell;Reviewed on 6/16/22 by the HTA and changes are ready to be applied in THO. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-327","Sent For Implementation","","Add CMS HIPPS per HTA","jsnell","2022-05-25 07:30","2022-06-16 07:12","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","","","","","","","","","","","","","","","","","","","","","","","2022-06-16 06:13;jsnell;Quick links to CS/NS:

[https://build.fhir.org/ig/HL7/UTG/branches/UP-327-add-cms-hipps-per-hta/CodeSystem-HIPPS.html]

[https://build.fhir.org/ig/HL7/UTG/branches/UP-327-add-cms-hipps-per-hta/NamingSystem-HIPPS.html] ","2022-06-16 07:12;jsnell;Reviewed on 6/16/22 by the HTA and changes are ready to be applied in THO. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-326","Proposal Draft","","Adding Witness and Notary terms to the Personal and Legal Relationship Value SEt","marc.duteau","2022-05-20 11:06","2022-05-20 11:13","Medium","marc.duteau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-325","Environment Setup","","Replace broken link for MedRT code system ","gwinters","2022-05-19 12:37","2022-05-24 07:58","Medium","gwinters","","","","","","","","","","","","","","","","","","","","","","","","","2022-05-24 07:58;jsnell;[~gwinters], the official URL looks correct and matches what was provided by the VA and what has been in the FHIR spec: [http://build.fhir.org/terminologies-systems.html]

Not all canonical URLs will resolve to a web address, as is the case with this one. 

Suggest closing the ticket since everything is technically correct.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-324","Queued for Next Implementation","","Add NUBC Code Systems per HTA","jsnell","2022-05-18 09:53","2022-07-22 06:47","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","","","","","","","","","","","","","","","","","","","","","","","2022-05-19 09:06;jsnell;FYI [~corey_spears]","2022-06-16 06:18;jsnell;Quick links to CS/NS:

https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/CodeSystem-AHANUBCPatientDischargeStatus.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/CodeSystem-AHANUBCPointOfOriginNewborn.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/CodeSystem-AHANUBCPointOfOriginNonnewborn.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/CodeSystem-AHANUBCPriorityTypeOfAdmitOrVisit.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/CodeSystem-AHANUBCRevenueCodes.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/NamingSystem-AHANUBCPatientDischargeStatus.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/NamingSystem-AHANUBCPointOfOriginNewborn.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/NamingSystem-AHANUBCPointOfOriginNonnewborn.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/NamingSystem-AHANUBCPriorityTypeOfAdmitOrVisit.html
https://build.fhir.org/ig/HL7/UTG/branches/UP-324-add-nubc-code-systems-per-hta/NamingSystem-AHANUBCRevenueCodes.html","2022-06-16 07:21;jsnell;Reviewed on 6/16/22 by the HTA and changes are ready to be applied in THO. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-323","Queued for Next Implementation","","Add Type Of Bill Codes per HTA","jsnell","2022-05-17 01:25","2022-07-22 06:47","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","","","","","","","","","","","","","","","","","","","","","","","2022-05-18 12:17;jsnell;FYI [~corey_spears]","2022-06-16 06:15;jsnell;Quick links to CS/NS:

[https://build.fhir.org/ig/HL7/UTG/branches/UP-323-add-type-of-bill-codes-per-hta/CodeSystem-AHANUBCTypeOfBill.html]

[https://build.fhir.org/ig/HL7/UTG/branches/UP-323-add-type-of-bill-codes-per-hta/NamingSystem-AHANUBCTypeOfBill.html] ","2022-06-16 07:16;jsnell;Reviewed on 6/16/22 by the HTA and changes are ready to be applied in THO. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-322","Queued for Next Implementation","","Add default value of TRUE for code systems missing caseSensitive element unless otherwise specified","jsnell","2022-05-17 11:40","2022-07-28 06:27","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=104762252","https://confluence.hl7.org/pages/viewpage.action?pageId=131039351","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","https://confluence.hl7.org/pages/viewpage.action?pageId=131047947","https://confluence.hl7.org/pages/viewpage.action?pageId=131049500","https://confluence.hl7.org/pages/viewpage.action?pageId=131051700","https://confluence.hl7.org/pages/viewpage.action?pageId=134940963","https://confluence.hl7.org/pages/viewpage.action?pageId=134942435","","","","","","","","","","","","","","","","2022-06-30 02:33;tedhl7geek;about 45 or so of them are missed it seems","2022-07-06 03:13;jsnell;[~tedhl7geek] , I am fairly certain I have them all now. Local build looks good. ","2022-07-07 07:13;tedhl7geek;Note that the create branch rendering did not create a resolvable link; looks like the length of the proposal name is what hosed it.  Manually fixed.","2022-07-13 11:53;jsnell;[~tedhl7geek] , I've attached the file which includes the id for all code systems that were modified for this ticket. Let me know if you need anything else to generate the provenance entries. Thanks!","2022-07-14 07:28;jsnell;Reviewed changes on 2022-07-14 HTA call. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-321","Proposal Draft","","Add Tabs for Deprecated Content","jsnell","2022-05-17 11:34","2022-08-29 03:11","Medium","tedhl7geek","","https://confluence.hl7.org/pages/viewpage.action?pageId=104762252","https://confluence.hl7.org/pages/viewpage.action?pageId=108301614","https://confluence.hl7.org/pages/viewpage.action?pageId=108305525","https://confluence.hl7.org/pages/viewpage.action?pageId=131039351","https://confluence.hl7.org/pages/viewpage.action?pageId=131047947","https://confluence.hl7.org/pages/viewpage.action?pageId=131048125","https://confluence.hl7.org/pages/viewpage.action?pageId=131051700","https://confluence.hl7.org/pages/viewpage.action?pageId=131052401","https://confluence.hl7.org/pages/viewpage.action?pageId=134942435","https://confluence.hl7.org/pages/viewpage.action?pageId=134943079","https://confluence.hl7.org/pages/viewpage.action?pageId=134947233","","","","","","","","","","","","","2022-05-27 01:49;tedhl7geek;Upon cursory examination of current content, the only UI display tasks are to add a 'Deprecated' sub-tab to 'HL7 Code Systems' and 'Value Sets'.   Performing the inventory will produce the list of what needs to go into the manifests.  The desired textual paragraphs for the tab pages should be suggested in a comment here, and it will be added when the draft branch and initial content is generated.","2022-06-23 09:35;jsnell;Below is the text to be added for the deprecation tabs:

HL7 CODE SYSTEMS AND VALUE SETS

Deprecation indicates that the object has been published and is retained for historical purposes, but should not be used to create new content or revise existing content.

For in-depth information about deprecation, including the process to deprecate an artifact (CodeSystem or ValueSet) or element (such as a concept), please see [link to THO documentation , new section]

Deprecation should not be confused with retirement. Deprecation provides usage guidance specifying that the object SHOULD not be used for new or revised content, whereas retirement indicates it SHALL NOT be used for new or revised content.

Deprecation is an HL7-specific process that provides users of HL7 specifications with guidance for using objects within HL7 implementations. For example, an object may be deprecated if it has been in use for some time and then gets updated or replaced, and guidance is to be provided for what to use instead. This may also be done when planning for an artifact (CodeSystem or ValueSet) to be retired in the near future.

ADD SENTENCE BELOW TO RETIRED TABS FOR HL7 CODE SYSTEM AND VALUE SETS

Retirement has been declared by the HL7 steward of the (CodeSystem or ValueSet) and indicates that the formal status of the resource is no longer active.

FOR RETIRED EXTERNAL CODE SYSTEMS

Retirement has been indicated by the HL7 community and/or the owner/publisher of the Code System and indicates that it is no longer active.","2022-08-29 03:11;tedhl7geek;Put deprecation tabs for HL7 Code Systems, Value Sets, and External Terminologies as described above.   Did NOT put tabs for external identifiers, as that effort is being covered in a related ticket UP-343:   https://jira.hl7.org/browse/UP-343 
 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-320","Environment Setup","","Fix All HL7 Code Systems tab to exclude external code systems","jsnell","2022-05-17 11:30","2022-08-23 10:29","Medium","tedhl7geek","","https://confluence.hl7.org/pages/viewpage.action?pageId=104762252","https://confluence.hl7.org/pages/viewpage.action?pageId=108301614","https://confluence.hl7.org/pages/viewpage.action?pageId=108305525","https://confluence.hl7.org/pages/viewpage.action?pageId=131039351","https://confluence.hl7.org/pages/viewpage.action?pageId=131047947","https://confluence.hl7.org/pages/viewpage.action?pageId=131051700","https://confluence.hl7.org/pages/viewpage.action?pageId=134942435","https://confluence.hl7.org/pages/viewpage.action?pageId=134947233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-319","Environment Setup","","Create urn:iso:std:iso:3166:-3 (Country Code Pt 3) Code System","lukeswindale","2022-05-05 05:46","2022-05-05 05:46","Medium","lukeswindale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-318","Environment Setup","","CodeSystem-v2-0396 ROLECLASS incorrect description","ahenket","2022-05-03 10:15","2022-05-03 10:15","Medium","ahenket","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-317","Queued for Next Implementation","","Add ICAO Sex per HTA","jsnell","2022-04-28 07:17","2022-07-22 06:47","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=104761725","https://confluence.hl7.org/pages/viewpage.action?pageId=131045743","","","","","","","","","","","","","","","","","","","","","","2022-04-28 02:43;jsnell;Changes validated via IG Publisher","2022-06-02 07:19;cmacumber;HTA Meeting 06/02/22: Motion to conditionally approve pending investigation of unspecified value: JB/RD: 4-0-0","2022-07-11 07:34;jsnell;Discussed on TSMG call on 7/11/22 and agreed to move this forward. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-316","Proposal Draft","","Create ""All Codes"" ValueSets for all External CodeSystems","corey_spears","2022-04-27 02:55","2022-04-28 02:47","Medium","corey_spears","","","","","","","","","","","","","","","","","","","","","","","","","2022-04-27 02:56;corey_spears;This was discussed in the TSMG - Minutes from TSMG call discussion - [https://confluence.hl7.org/display/TSMG/2022-03-28+TSMG+Agenda+and+Minutes]

An appropriate place to put the VSs needs to be determined.","2022-04-28 02:47;corey_spears;Related issues:

https://jira.hl7.org/browse/FHIR-36942 -  Clarify what codes are included in ValueSet.compose when only a code system is referenced - All Codes Meaning

https://jira.hl7.org/browse/FHIR-36837 - Update Codesystem.valueset to include clarification on what ""all codes"" means

The Vocab WG has stated that there are some best practices that need to be created for this sort of effort (Defining ""all codes"" valuesets), that includes defining the url. Vocab has asked [~cmacumber] be consulted in this effort.
Vocab WG Meeting minutes: [https://confluence.hl7.org/pages/viewpage.action?pageId=101354070] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-315","consensus review","","Update FHIR payee type Terminologies details (change from example)","corey_spears","2022-04-27 10:46","2022-07-06 09:12","Medium","corey_spears","","https://confluence.hl7.org/pages/viewpage.action?pageId=131050202","","","","","","","","","","","","","","","","","","","","","","","2022-06-28 02:23;jsnell;Reviewed on UTG/THO subcommittee call on 28 June 2022. Group suggests pulling back to draft and increment the version number as a major update (adding a new concept is a major change so it should be 1.0.0). The value set version is likely okay for now, as TSMG is still working on approving a policy for value set versioning. No other issues with the content were found. 

[~corey_spears] ","2022-06-28 02:50;jsnell;Reviewed on UTG/THO subcommittee call on 28 June 2022. It appears these tickets include updates to the same resource. 

Is there any advice regarding the order that these changes be applied, or is any order acceptable? This is a use case that we knew would exist (two tickets updating the same resource), but we are encountering for the first time and want to make sure we get this right. 

Versioning, for example, is a little tricky because each ticket may update the version but when applied sequentially it may not result in the correct number without intervention from the Terminology Curator. Noting that this is something that TSMG will discuss in its Versioning Task Force that is being formed in the near future. ","2022-07-06 09:12;Rob_McClure;The build version seems to have incomplete additions. The definition for ""Person"" is ""Person"" and the V2 comment is ""A person/individual/being."" Neither of those two entries is proper or useful. Please improve.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-314","Proposal Draft","","Add new codes to Contact Entity ","corey_spears","2022-04-27 12:10","2022-04-27 12:11","Medium","corey_spears","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-313","Proposal Draft","","Create Related Claim Relationship CS/VS that is not an example","corey_spears","2022-04-26 11:24","2022-04-26 11:24","Medium","corey_spears","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-312","consensus review","","Update FHIR Claim CareTeamRole Terminologies with codes and other details","corey_spears","2022-04-26 09:01","2022-07-26 02:23","Medium","corey_spears","","https://confluence.hl7.org/pages/viewpage.action?pageId=134940202","https://confluence.hl7.org/pages/viewpage.action?pageId=134944465","","","","","","","","","","","","","","","","","","","","","","2022-06-10 11:08;corey_spears;Display capitalization needs to be made consistent","2022-06-10 11:08;corey_spears;History of voting during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 15
Positive Votes:  
Negative Votes: 
Total Votes Cast: 
Super Vote Weight: 3
OSG Vote Weight: 2
Super Voters: lloyd, tedhl7geek
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: No
OSGVoter International Requirement Met: No
OSGVoter Requirement Met: No
OSGVoter Vocabulary Requirement Met: No
Positve Voters: 
Negative Voters: ","2022-06-11 12:39;corey_spears;Made some display consistency improvements","2022-07-12 02:31;jsnell;This was reviewed on the UTG/THO subcommittee call on 2022-07-12. There appear to be some remaining issues with display consistency. 'Provider' is capitalized in some codes, but not others. Additionally, the version of the code system should be incremented to reflect a major change per [https://confluence.hl7.org/display/VOC/Documented+Execution+of+UTG+Versioning] . Suggest pulling the ticket back into draft and resubmitting with the changes. ","2022-07-26 02:23;jsnell;[~corey_spears] , tagging you to ensure that you've seen the comment above. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-311","Proposal Draft","","Create Procedure Type Code Systems that is not an example","corey_spears","2022-04-25 08:11","2022-04-25 09:03","Medium","corey_spears","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-309","consensus review","","Create Diagnosis Type Code Systems that is not an example","corey_spears","2022-04-24 08:27","2022-06-28 02:58","Medium","corey_spears","","https://confluence.hl7.org/pages/viewpage.action?pageId=131050202","","","","","","","","","","","","","","","","","","","","","","","2022-06-28 02:29;jsnell;Reviewed on UTG/THO subcommittee call on 28 June 2022. Group suggests pulling back to draft and setting the initial value set version to 1.0.0 (although not a set policy for value set versioning, all new resources should be set to 1.0.0). It would be excellent if the new concepts in the value set could be alphabetized as well, as it seems the tooling is not doing that for the THO rendering. 

[~corey_spears] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-308","Queued for Next Implementation","","Add CMS MS-DRG per HTA","jsnell","2022-04-18 10:20","2022-05-25 08:15","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-04-21 07:16;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","2022-05-25 08:15;jsnell;[~corey_spears], FYI this one is now in the CI build.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-307","Queued for Next Implementation","","Remove Version Specific Information from CMS Place of Service Description","jsnell","2022-04-15 10:46","2022-05-02 10:32","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-04-15 02:00;jsnell;[~marc.duteau], changes were verified locally using IG Publisher. ","2022-04-21 07:19;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-306","Queued for Next Implementation","","Add ADA Area of Oral Cavity System per HTA","jsnell","2022-04-14 11:30","2022-05-02 12:25","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-04-15 08:23;jsnell;[~marc.duteau], changes were verified locally. ","2022-04-21 07:13;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-305","Queued for Next Implementation","","Add ADA Universal Tooth Designation System per HTA","jsnell","2022-04-12 12:13","2022-05-02 10:33","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-04-14 11:16;jsnell;[~marc.duteau], the changes were verified against a local IG build. ","2022-04-21 07:18;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-304","Queued for Next Implementation","","Add Tangram Medical Terminology per HTA","jsnell","2022-04-06 10:47","2022-07-22 06:47","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=104761725","","","","","","","","","","","","","","","","","","","","","","","2022-04-28 07:01;jsnell;Changes verified via IG Publisher. ","2022-04-28 07:38;jsnell;Added case sensitivity element to the code system and resubmitted. ","2022-06-02 07:13;cmacumber;HTA Meeting 06/02/22: RD/JB: 4-0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
