Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0017 -- Transaction Type,DOM: 17,TransactionType,"The domain of possible values for a type of financial
transaction.",false,2.16.840.1.113883.18.13,transactionType,"Code system of concepts specifying a type of financial transaction.
Used in HL7 Version 2.x messaging in the FT1 segment.",Transaction Type Code System,http://terminology.hl7.org/CodeSystem/v2-0017,,,,,,07.04.1997,2,2.3,2.16.840.1.113883.21.14,hl7VS-transactionType,"Value Set of codes that specify a type of financial
transaction.",Transaction Type Value Set,http://terminology.hl7.org/ValueSet/v2-0017,all codes,,,,,example,0017,2.16.840.1.113883.12.17,Transaction Type,Table of codes specifying a type of financial transaction.,User,FM,FT1-6,2.1,,
0018 -- Patient Type,DOM: 18,PatientType,"The domain of possible values for the patient type. No suggested
values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0018,2.16.840.1.113883.12.18,Patient Type,"Table of codes specifying the patient type. No suggested
values.",User,PA,PV1-18,2.1,,
0019 -- Anesthesia Code,DOM: 19,AnesthesiaCode,"The domain of possible values for the anesthesia used during the
procedure. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0019,2.16.840.1.113883.12.19,Anesthesia Code,"Table of codes specifying the anesthesia used during the procedure.
No suggested values.",User,FM,PR1-9,2.1,,
0021 -- Bad Debt Agency Code,DOM: 21,BadDebtAgencyCode,"The domain of possible values for the bad debt agency to which the
account was transferred.",true,,,,,,,,,,,,,,,,,,,,,,,,,0021,2.16.840.1.113883.12.21,Bad Debt Agency Code,"Table of codes specifying the bad debt agency to which the account
was transferred. No suggested values.",User,PA,PV1-31,2.1,,
0022 -- Billing Status,DOM: 22,BillingStatus,"The domain of possible values for whether the particular insurance
has been billed and, if so, the type of bill. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0022,2.16.840.1.113883.12.22,Billing Status,"Table of codes specifying whether the particular insurance has been
billed and, if so, the type of bill. No suggested values.",User,FM,IN1-32,2.1,,
0023 -- Admit Source,DOM: 23,AdmitSource,"The domain of possible values for where the patient was admitted. No
suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0023,2.16.840.1.113883.12.23,Admit Source,"Table of codes specifying where the patient was admitted. No
suggested values.",User,PA,PV1-14,2.1,,
0024 -- Fee Schedule,DOM: 24,FeeSchedule,"The domain of possible values for the appropriate fee schedule to be
used for this transaction posting.",true,,,,,,,,,,,,,,,,,,,,,,,,,0024,2.16.840.1.113883.12.24,Fee Schedule,"Table of codes specifying the appropriate fee schedule to be used
for this transaction posting. No suggested values.",User,FM,FT1-17,2.1,,
0027 -- Priority,DOM: 27,Priority,"The domain of possible values for the allowed priorities for
obtaining the specimen.",false,2.16.840.1.113883.18.15,priority,"HL7-defined code system of concepts specifying the allowed
priorities for obtaining the specimen. Used in HL7 Version 2.x messaging
in the OM4 segment.",Priority Code System,http://terminology.hl7.org/CodeSystem/v2-0027,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.16,hl7VS-priority,"Value Set of codes that specify the allowed priorities for obtaining
the specimen.",Priority Value Set,http://terminology.hl7.org/ValueSet/v2-0027,all codes,,,,,universal,0027,2.16.840.1.113883.12.27,Priority,"HL7-defined table of codes specifying the allowed priorities for
obtaining the specimen.",HL7,InM/OO,OM4-13,2.1,,
0032 -- Charge/Price Indicator,DOM: 32,Charge_PriceIndicator,"The domain of possible values for which price schedule is to be used
for room and bed charges. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0032,2.16.840.1.113883.12.32,Charge/Price Indicator,"Table of codes specifying which price schedule is to be used for
room and bed charges. No suggested values.",User,PA,PV1-21,2.1,,
0038 -- Order status,DOM: 38,OrderStatus,"The domain of possible values for the status of an order. The
purpose of these values are to report the status of an order either upon
request (solicited), or when the status changes (unsolicited). The
values are not intended to initiate action. It is assumed that the order
status value always reflects the status as it is known to the sending
application at the time that a message is sent. Only the filler can
originate these values.",false,2.16.840.1.113883.18.18,orderStatus,"HL7-defined code system of concepts specifying the status of an
order. The purpose of these values are to report the status of an order
either upon request (solicited), or when the status changes
(unsolicited). The values are not intended to initiate action. It is
assumed that the order status value always reflects the status as it is
known to the sending application at the time that a message is sent.
Only the filler can originate these values. Used in HL7 Version 2.x
messaging in the ORC segment.",Order status Code System,http://terminology.hl7.org/CodeSystem/v2-0038,,,,,,31.12.1992,3,2.1,2.16.840.1.113883.21.21,hl7VS-orderStatus,"Value Set of codes that specify the status of an order. The purpose
of these values are to report the status of an order either upon request
(solicited), or when the status changes (unsolicited). The values are
not intended to initiate action. It is as",Order status Value Set,http://terminology.hl7.org/ValueSet/v2-0038,all codes,,,,,universal,0038,2.16.840.1.113883.12.38,Order status,"HL7-defined table of codes specifying the status of an order. The
purpose of these values are to report the status of an order either upon
request (solicited), or when the status changes (unsolicited). The
values are not intended to initiate action. It is assumed that the order
status value always reflects the status as it is known to the sending
application at the time that a message is sent. Only the filler can
originate these values.",HL7,OO,ORC-5,2.1,,
0042 -- Company Plan Code,DOM: 42,CompanyPlanCode,"The domain of possible values for an insurance company plan
uniquely. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0042,2.16.840.1.113883.12.42,Company Plan Code,"Table of codes specifying an insurance company plan uniquely. No
suggested values.",User,FM,IN1-35,2.1,,
0043 -- Condition Code,DOM: 43,ConditionCode,The domain of possible values for the condition code.,false,,,,,,,,,,,,,,,,,,,,,,,,,0043,2.16.840.1.113883.12.43,Condition Code,"Table of codes specifying the condition code. These codes are
defined by CMS or other regulartory agencies. No suggested values.",User,FM,UB2-3,2.1,,
0044 -- Contract Code,DOM: 44,ContractCode,"The domain of possible values for the type of contract entered into
by the healthcare facility and the guarantor for the purpose of settling
outstanding account balances.",true,,,,,,,,,,,,,,,,,,,,,,,,,0044,2.16.840.1.113883.12.44,Contract Code,"Table of codes specifying the type of contract entered into by the
healthcare facility and the guarantor for the purpose of settling
outstanding account balances. No suggested values.",User,PA,PV1-24,2.1,,
0045 -- Courtesy Code,DOM: 45,CourtesyCode,"The domain of possible values for whether the patient will be
extended certain special courtesies.",true,,,,,,,,,,,,,,,,,,,,,,,,,0045,2.16.840.1.113883.12.45,Courtesy Code,"Table of codes specifying whether the patient will be extended
certain special courtesies. No suggested values.",User,PA,PV1-22,2.1,,
0046 -- Credit Rating,DOM: 46,CreditRating,The domain of possible values for past credit experience.,true,,,,,,,,,,,,,,,,,,,,,,,,,0046,2.16.840.1.113883.12.46,Credit Rating,"Table of codes specifying past credit experience. No suggested
values.",User,PA,PV1-23,2.1,,
0049 -- Department Code,DOM: 49,DepartmentCode,"The domain of possible values for the department that controls a
specified transaction code.",true,,,,,,,,,,,,,,,,,,,,,,,,,0049,2.16.840.1.113883.12.49,Department Code,"Table of codes specifying the department code that controls the
transaction code. No suggested values.",User,FM,FT1-13,2.1,,
0050 -- Accident Code,DOM: 50,AccidentCode,The domain of possible values for the type of accident.,true,,,,,,,,,,,,,,,,,,,,,,,,,0050,2.16.840.1.113883.12.50,Accident Code,"Table of codes specifying the type of accident. No suggested
values.",User,FM,ACC-2,2.1,,
0051 -- Diagnosis Code,DOM: 51,DiagnosisCode,"The domain of possible values for the primary diagnosis code for
billing purposes.",true,,,,,,,,,,,,,,,,,,,,,,,,,0051,2.16.840.1.113883.12.51,Diagnosis Code,"Table of codes specifying the primary diagnosis code for billing
purposes. No suggested values.",User,FM,FT1-19,2.1,,
0052 -- Diagnosis Type,DOM: 52,DiagnosisType,"The domain of possible values that specify a type of diagnosis being
sent.",false,2.16.840.1.113883.18.21,diagnosisType,"Code system of concepts specifying a type of diagnosis being sent.
Used in HL7 Version 2.x messaging in the DG1 segment..",Diagnosis Type Code System,http://terminology.hl7.org/CodeSystem/v2-0052,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.24,hl7VS-diagnosisType,"Concepts specifying a type of diagnosis being sent in HL7 Version
2.x messages.",Diagnosis Type Value Set,http://terminology.hl7.org/ValueSet/v2-0052,all codes,,,,,representative,0052,2.16.840.1.113883.12.52,Diagnosis Type,Table of codes that specify a type of diagnosis being sent.,User,FM,DG1-6,2.1,,
0055 -- Diagnosis Related Group,DOM: 55,DiagnosisRelatedGroup,"The domain of possible values for the diagnostic related group (DRG)
for the transaction.",true,,,,,,,,,,,,,,,,,,,,,,,,,0055,2.16.840.1.113883.12.55,Diagnosis Related Group,"Table of codes specifying the diagnostic related group (DRG) for the
transaction. No suggested values.",User,InM/FM,"DMI-1, DRG-1",2.1,,
0056 -- DRG Grouper Review Code,DOM: 56,DrgGrouperReviewCode,"The domain of possible values for that the grouper results have been
reviewed and approved.",true,,,,,,,,,,,,,,,,,,,,,,,,,0056,2.16.840.1.113883.12.56,DRG Grouper Review Code,"Table of codes specifying that the grouper results have been
reviewed and approved. No suggested values.",User,FM,DRG-4,2.1,,
0059 -- Consent Code,DOM: 59,ConsentCode,"The domain of possible values for the type of consent that was
obtained for permission to treat the patient.",true,,,,,,,,,,,,,,,,,,,,,,,,,0059,2.16.840.1.113883.12.59,Consent Code,"Table of codes specifying the type of consent that was obtained for
permission to treat the patient. No suggested values.",User,FM,PR1-13,2.1,,
0061 -- Check Digit Scheme,DOM: 61,CheckDigitScheme,"The domain of possible values for the check digit scheme
employed.",false,2.16.840.1.113883.18.22,checkDigitScheme,"HL7-defined code system of concepts specifying the check digit
scheme employed. Used in HL7 Version 2.x messaging in PPN, XCN and XON
segments.",Check Digit Scheme Code System,http://terminology.hl7.org/CodeSystem/v2-0061,,,,,,31.12.1992,4,2.1,2.16.840.1.113883.21.25,hl7VS-checkDigitScheme,"Concepts used to identify the check digit scheme employed when a
check digit is used in various HL7 Version 2.x datatypes.",Check Digit Scheme Value Set,http://terminology.hl7.org/ValueSet/v2-0061,all codes,,,,,universal,0061,2.16.840.1.113883.12.61,Check Digit Scheme,"HL7-defined table of codes specifying the check digit scheme
employed.",HL7,InM,"CX.3, PPN.12, XCN.12, XON.5",2.1,,
0062 -- Event Reason,DOM: 62,EventReason,The domain of possible values for the reason for an event.,false,2.16.840.1.113883.18.23,eventReason,"Code system of concepts which specify the reason for an event. Used
in HL7 Version 2.x messaging in the EVN segment.",Event Reason Code System,http://terminology.hl7.org/CodeSystem/v2-0062,,,,,,31.12.1992,4,2.1,2.16.840.1.113883.21.26,hl7VS-eventReason,Value Set of codes that specify the reason for an event.,Event Reason Value Set,http://terminology.hl7.org/ValueSet/v2-0062,all codes,,,,,example,0062,2.16.840.1.113883.12.62,Event Reason,Table of codes which specify the reason for an event.,User,InM/FM,"EVN-4, FC.1",2.1,,
0063 -- Relationship,DOM: 63,Relationship,"The domain of possible values for an actual personal relationship
that the next of kin/associated party has to a patient.",false,2.16.840.1.113883.18.24,relationship,"HL7-defined code system of concepts specifying an actual personal
relationship that the next of kin/associated party has to a patient.
Used in HL7 Version 2.x messaging in the NK1 and IN1 segments.",Relationship Code System,http://terminology.hl7.org/CodeSystem/v2-0063,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.27,hl7VS-relationship,"Concepts specifying an actual personal relationship that the next of
kin/associated party has to a patient. Used in HL7 Version 2.x messaging
in the NK1 segment.",Relationship Value Set,http://terminology.hl7.org/ValueSet/v2-0063,all codes,,,,,example,0063,2.16.840.1.113883.12.63,Relationship,"Table of codes specifying an actual personal relationship that the
next of kin/associated party has to a patient.",User,PA,"NK1-3, IN1-17",2.1,,
0064 -- Financial Class,DOM: 64,FinancialClass,"The domain of possible values for the financial class assigned to a
person.",true,,,,,,,,,,,,,,,,,,,,,,,,,0064,2.16.840.1.113883.12.64,Financial Class,"Table of codes specifying the financial class assigned to a person.
No suggested values.",User,InM/FM,"FC.1, PV1-20",2.1,,
0065 -- Specimen Action Code,DOM: 65,SpecimenActionCode,"The domain of possible values for actions to be taken with respect
to the specimens that accompany or precede an order. The purpose of
these are to further qualify (when appropriate) the general action
indicated by the order control code.",false,2.16.840.1.113883.18.25,specimenAction,"HL7-defined code system of concepts which specify actions to be
taken with respect to the specimens that accompany or precede an order.
The purpose of these are to further qualify (when appropriate) the
general action indicated by the order control code (code system xxxx).
Used in HL7 Version 2.x messaging in the OBR segment.",Specimen Action Code Code System,http://terminology.hl7.org/CodeSystem/v2-0065,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.28,hl7VS-actionCode,"Concepts which specify actions to be taken with respect to the
specimens that accompany or precede an order. The purpose of these are
to further qualify (when appropriate) the general action indicated by
the order control code (code system xxxx).",Specimen Action Code Value Set,http://terminology.hl7.org/ValueSet/v2-0065,all codes,,,,,universal,0065,2.16.840.1.113883.12.65,Specimen Action Code,"HL7-defined table of codes which specify actions to be taken with
respect to the specimens that accompany or precede an order. The purpose
of these are to further qualify (when appropriate) the general action
indicated by the order control code ( table 0119).",HL7,OO,OBR-11,2.1,,
0066 -- Employment Status,DOM: 66,EmploymentStatus,"The domain of possible values for the guarantor's employment
status.",false,2.16.840.1.113883.18.26,employmentStatus,"HL7-defined code system of concepts which specify an employment
status of a person. Used in HL7 Version 2 messaging in the GT1
segment.",Employment Status Code System,http://terminology.hl7.org/CodeSystem/v2-0066,,,,,,01.11.2000,2,2.4,2.16.840.1.113883.21.29,hl7VS-employmentStatus,"Value Set of codes that specify the guarantor's employment
status.",Employment Status Value Set,http://terminology.hl7.org/ValueSet/v2-0066,all codes,,,,,representative,0066,2.16.840.1.113883.12.66,Employment Status,Table of codes specifying the guarantor's employment status.,User,FM,GT1-20,2.1,,
0068 -- Guarantor Type,DOM: 68,GuarantorType,"The domain of possible values for the type of guarantor, e.g.,
individual, institution, etc. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0068,2.16.840.1.113883.12.68,Guarantor Type,"Table of codes specifying the type of guarantor, e.g., individual,
institution, etc. No suggested values.",User,FM,"DRG-33, GT1-10",2.1,,
0069 -- Hospital Service,DOM: 69,HospitalService,"The domain of possible values for the treatment or type of surgery
the patient is scheduled to receive.",false,2.16.840.1.113883.18.27,hospitalService,"Code system of concepts specifying the treatment or type of surgery
the patient is scheduled to receive. Used in HL7 Version 2.x messaging
in the PV1 segment.",Hospital Service Code System,http://terminology.hl7.org/CodeSystem/v2-0069,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.30,hl7VS-hospitalService,"Value Set of codes that specify the treatment or type of surgery the
patient is scheduled to receive.",Hospital Service Value Set,http://terminology.hl7.org/ValueSet/v2-0069,all codes,,,,,example,0069,2.16.840.1.113883.12.69,Hospital Service,"Table of codes specifying the treatment or type of surgery the
patient is scheduled to receive.",User,PA,PV1-10,2.1,,
0072 -- Insurance Plan ID,DOM: 72,InsurancePlanId,"The domain of possible values for the identifier of an insurance
plan with which a transaction should be associated.",true,,,,,,,,,,,,,,,,,,,,,,,,,0072,2.16.840.1.113883.12.72,Insurance Plan ID,"Table of codes specifying the identifier of an insurance plan with
which a transaction should be associated. No suggested values.",User,OO,"AUT-1, FT1-14, IN1-2",2.1,,
0073 -- Interest Rate Code,DOM: 73,InterestRateCode,"The domain of possible values for the amount of interest that will
be charged the guarantor on any outstanding amounts.",true,,,,,,,,,,,,,,,,,,,,,,,,,0073,2.16.840.1.113883.12.73,Interest Rate Code,"Table of codes specifying the amount of interest that will be
charged the guarantor on any outstanding amounts. No suggested
values.",User,PA,PV1-28,2.1,,
0074 -- Diagnostic Service Section ID,DOM: 74,DiagnosticServiceSectionId,"The domain of possible values for a section of a diagnostic service
where an observation may be performed.",false,2.16.840.1.113883.18.29,diagnosticServiceSectionId,"HL7-defined code system of concepts which specify a section of a
diagnostic service where the observation may be performed. Used in HL7
Version 2.x messaging in the OBR and OM4 segments.",Diagnostic Service Section ID Code System,http://terminology.hl7.org/CodeSystem/v2-0074,,,,,,31.12.1992,5,2.1,2.16.840.1.113883.21.32,hl7VS-diagnosticServiceSectionId,"Concepts which specify a section of a diagnostic service where the
observation may be performed.",Diagnostic Service Section ID Value Set,http://terminology.hl7.org/ValueSet/v2-0074,all codes,,,,,universal,0074,2.16.840.1.113883.12.74,Diagnostic Service Section ID,"HL7-defined table of codes which specify a section of a diagnostic
service where an observation may be performed.",HL7,OO,"OBR-24, OM4-49",2.1,,
0076 -- Message Type,DOM: 76,MessageType,The domain of possible values for message types.,false,2.16.840.1.113883.18.30,messageType,"HL7-defined code system of concepts which specify message types.
Used in HL7 Version 2.x messaging in the MSH segment.",Message Type Code System,http://terminology.hl7.org/CodeSystem/v2-0076,,,,,,31.12.1992,12,2.1,2.16.840.1.113883.21.33,hl7VS-messageType,"Concepts which specify message types for HL7 Version 2.x
messaging.",Message Type Value Set,http://terminology.hl7.org/ValueSet/v2-0076,all codes,,,,,universal,0076,2.16.840.1.113883.12.76,Message Type,HL7-defined table of codes which specify message types.,HL7,InM,MSH-9.1,2.1,,
0078 -- Interpretation Codes,DOM: 78,InterpretationCodes,"The domain of possible values for a categorical assessment of an
observation value.
Discussion: These interpretation codes are sometimes called ""abnormal
flags"", however, the judgment of normalcy is just one of the common
rough interpretations, and is often not relevant. For example, the
susceptibility interpretations are not about ""normalcy"", and for any
observation of a pathologic condition, it does not make sense to state
the normalcy, since pathologic conditions are never considered
""normal.""",false,2.16.840.1.113883.5.83,observationInterpretation,"HL7-defined code system of concepts which specify a categorical
assessment of an observation value. Used in HL7 Version 2.x messaging in
the OBX segment.
Notes: This is being communicated in v2.x in OBX-8, in v3 in
ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR
Observation.interpretation.",Interpretation Codes Code System,,,,,,,31.12.1992,4,2.1,2.16.840.1.113883.1.11.78,hl7VS-interpretationCode,"A categorical assessment, providing a rough qualitative
interpretation of the observation value, such as “normal”/
“abnormal”,”low” / “high”, “better” / “worse”, “susceptible” /
“resistant”, “expected”/ “not expected”. The value set is intended to be
for ANY use where coded representation of an interpretation is needed.
Notes: This is being communicated in v2.x in OBX-8, in v3 in
ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR
Observation.interpretation. Historically these values come from the
laboratory domain, and these codes are extensively used. The value set
binding is extensible, so codes outside the value set that are needed
for interpretation concepts (i.e. particular meanings) that are not
included in the value set can be used, and these new codes may also be
added to the value set and published in a future version.",Interpretation Codes Value Set,http://terminology.hl7.org/ValueSet/v2-0078,all codes,http://build.fhir.org/v3/ObservationInterpretation/vs.html,,,,universal,0078,2.16.840.1.113883.12.78,Interpretation Codes,"HL7-defined table of codes which specify a categorical assessment of
an observation value.",HL7-EXT,OO,OBX-8,2.1,,
